26

S0	0.9926726777	2.242476562	4.78086298
S1	1.20790485	2.592396195	4.84092253
S2	4.587536315	4.998895436	2.72769953
S3	0.2050164999	3.464829119	3.588859405
S4	4.574416325	0.93730127	2.17594183
S5	4.118403115	0.61504118	2.091793645
S6	2.969257211	4.306306166	3.5444718
S7	3.13914543	3.455091515	2.664659745
S8	1.866045084	1.442131783	0.2748683266
S9	0.695371705	0.763033075	4.85517428
S10	2.44535601	2.268255555	1.63169311
S11	1.200184675	2.52011166	2.793686435
S12	1.551884095	1.68612951	3.47609179
S13	1.561807029	4.734433197	4.948038678
S14	3.377965687	4.576335151	1.484793908
S15	4.98019594	3.663755685	0.1613266271
S16	4.20422566	0.01903292	3.590363485
S17	1.09858861	0.81526861	4.244665595
S18	2.086530235	3.788003675	0.678104045
S19	3.596317992	3.733180206	4.757955461
S20	3.318715105	2.866716843	1.594266279
S21	1.19739821	0.43985039	3.506640765
S22	0.26754309	4.99977691	4.499696465
S23	2.147225637	0.3794588888	0.4065503022
S24	2.883019313	2.96201377	0.6446610087
S25	2.463174748	2.28667444	4.239542257
26

S0	1.010736136	2.19321288	4.752896323
S1	1.20790485	2.592396195	4.84092253
S2	4.587536315	4.998895436	2.72769953
S3	0.2050164999	3.464829119	3.588859405
S4	4.574416325	0.93730127	2.17594183
S5	4.118403115	0.61504118	2.091793645
S6	2.969257211	4.306306166	3.5444718
S7	3.13914543	3.455091515	2.664659745
S8	1.853383648	1.451428232	0.2596807052
S9	0.6942515598	0.7398013226	4.870023446
S10	2.406959211	2.293688439	1.606177963
S11	1.200184675	2.52011166	2.793686435
S12	1.573655951	1.664473144	3.477620624
S13	1.514565954	4.75347297	4.903827871
S14	3.377965687	4.576335151	1.484793908
S15	4.98019594	3.663755685	0.1613266271
S16	4.20422566	0.01903292	3.590363485
S17	1.09858861	0.81526861	4.244665595
S18	2.087043167	3.784226871	0.6564760107
S19	3.596317992	3.733180206	4.757955461
S20	3.32086565	2.894149883	1.568758695
S21	1.19739821	0.43985039	3.506640765
S22	0.2914669173	4.958385199	4.535659585
S23	2.147225637	0.3794588888	0.4065503022
S24	2.854989494	2.93734101	0.6147916749
S25	2.427740398	2.304234302	4.209015571
26

S0	1.008587799	2.198816361	4.732788464
S1	1.20790485	2.592396195	4.84092253
S2	4.587536315	4.998895436	2.72769953
S3	0.182402335	3.490935857	3.53757798
S4	4.580948245	0.9526591912	2.151340442
S5	4.118403115	0.61504118	2.091793645
S6	3.000353513	4.279001233	3.541363354
S7	3.167284285	3.445531574	2.695772116
S8	1.882721546	1.49527614	0.28012055
S9	0.6961802531	0.769316725	4.887265892
S10	2.406959211	2.293688439	1.606177963
S11	1.200184675	2.52011166	2.793686435
S12	1.57714031	1.666229991	3.564164554
S13	1.53728141	4.720571568	4.893239532
S14	3.377965687	4.576335151	1.484793908
S15	4.992174384	3.632671487	0.2010290368
S16	4.20422566	0.01903292	3.590363485
S17	1.09858861	0.81526861	4.244665595
S18	2.087043167	3.784226871	0.6564760107
S19	3.596317992	3.733180206	4.757955461
S20	3.310149027	2.916174131	1.60834797
S21	1.195689973	0.4240385839	3.474512158
S22	0.311531592	4.916766045	4.491256054
S23	2.147225637	0.3794588888	0.4065503022
S24	2.872595364	2.968473892	0.5311786556
S25	2.45167093	2.240983876	4.185958789
26

S0	1.008587799	2.198816361	4.732788464
S1	1.271683558	2.64217392	4.860140695
S2	4.582446943	4.9960107	2.720465704
S3	0.1094103367	3.524400622	3.517282322
S4	4.580948245	0.9526591912	2.151340442
S5	4.118403115	0.61504118	2.091793645
S6	3.000353513	4.279001233	3.541363354
S7	3.14373366	3.458399719	2.684425018
S8	1.893404987	1.476568375	0.2510937827
S9	0.6961802531	0.769316725	4.887265892
S10	2.406959211	2.293688439	1.606177963
S11	1.200184675	2.52011166	2.793686435
S12	1.57714031	1.666229991	3.564164554
S13	1.53728141	4.720571568	4.893239532
S14	3.359979561	4.478866697	1.4719535
S15	4.992174384	3.632671487	0.2010290368
S16	4.20422566	0.01903292	3.590363485
S17	1.09858861	0.81526861	4.244665595
S18	2.123879727	3.796673986	0.6840153905
S19	3.564663975	3.763708265	4.758592759
S20	3.310149027	2.916174131	1.60834797
S21	1.195225251	0.4469386346	3.430771604
S22	0.311531592	4.916766045	4.491256054
S23	2.147225637	0.3794588888	0.4065503022
S24	2.921900753	2.986964469	0.5630977114
S25	2.470495061	2.247204314	4.168335758
26

S0	1.008587799	2.198816361	4.732788464
S1	1.318956701	2.611872336	4.895552145
S2	4.582446943	4.9960107	2.720465704
S3	0.0673220768	3.522300281	3.551138956
S4	4.610357999	1.002182776	2.160518498
S5	4.118403115	0.61504118	2.091793645
S6	3.026594773	4.320232183	3.504168849
S7	3.165398185	3.486814841	2.672110336
S8	1.873218104	1.51872794	0.2157143353
S9	0.6961802531	0.769316725	4.887265892
S10	2.448785011	2.267940282	1.599491521
S11	1.200184675	2.52011166	2.793686435
S12	1.57714031	1.666229991	3.564164554
S13	1.528394222	4.650780846	4.856151811
S14	3.359979561	4.478866697	1.4719535
S15	4.992174384	3.632671487	0.2010290368
S16	4.168421778	0.0671602125	3.581675519
S17	1.145512746	0.8240849165	4.169557595
S18	2.189582357	3.84058473	0.5767669327
S19	3.564663975	3.763708265	4.758592759
S20	3.315515052	2.944021352	1.585852463
S21	1.195225251	0.4469386346	3.430771604
S22	0.311531592	4.916766045	4.491256054
S23	2.208483119	0.4049300547	0.4357596343
S24	2.921900753	2.986964469	0.5630977114
S25	2.470495061	2.247204314	4.168335758
26

S0	0.9645612552	2.191062109	4.683334601
S1	1.318956701	2.611872336	4.895552145
S2	4.582446943	4.9960107	2.720465704
S3	0.1043194427	3.517497992	3.560489945
S4	4.610357999	1.002182776	2.160518498
S5	4.118403115	0.61504118	2.091793645
S6	3.05216048	4.340871441	3.502274649
S7	3.203555723	3.5199024	2.627421901
S8	1.842317805	1.529043977	0.1580848819
S9	0.6825516344	0.8067374947	4.898778754
S10	2.539498929	2.205736693	1.533228019
S11	1.150661573	2.493049958	2.746567111
S12	1.530862491	1.65328639	3.546713426
S13	1.479975455	4.673487214	4.820560629
S14	3.392964943	4.46788482	1.421771292
S15	4.992174384	3.632671487	0.2010290368
S16	4.168421778	0.0671602125	3.581675519
S17	1.184108827	0.7858218156	4.182982983
S18	2.189842959	3.816610543	0.558878624
S19	3.512332258	3.680049546	4.829253895
S20	3.304153775	2.934932759	1.573071427
S21	1.195225251	0.4469386346	3.430771604
S22	0.311531592	4.916766045	4.491256054
S23	2.208483119	0.4049300547	0.4357596343
S24	2.892770379	2.965120943	0.5795148529
S25	2.470495061	2.247204314	4.168335758
26

S0	1.009771971	2.169460528	4.636331105
S1	1.308591025	2.661799541	4.943007227
S2	4.582446943	4.9960107	2.720465704
