TimeStep	Mean Squared Displacement
0.000000	0.000000
0.010000	0.002777
0.020000	0.026756
0.030000	0.113312
0.040000	0.330757
0.050000	0.777343
0.060000	1.583100
0.070000	2.910307
0.080000	4.952436
0.090000	7.931478
0.100000	12.093558
0.110000	17.702761
0.120000	25.032931
0.130000	34.356706
0.140000	45.929126
0.150000	59.954729
0.160000	76.475372
0.170000	95.259196
0.180000	115.856534
0.190000	137.624855
0.200000	159.963623
0.210000	182.409991
0.220000	204.536992
0.230000	225.943448
0.240000	246.259545
0.250000	265.154841
0.260000	282.345891
0.270000	297.602702
0.280000	310.753780
0.290000	321.689830
0.300000	330.366456
0.310000	336.806887
0.320000	341.107458
0.330000	343.454618
0.340000	344.190900
0.350000	343.972068
0.360000	343.679902
0.370000	344.302150
0.380000	346.736971
0.390000	351.385682
0.400000	358.441871
0.410000	368.069315
0.420000	380.427374
0.430000	395.676982
0.440000	413.982165
0.450000	435.509361
0.460000	460.424917
0.470000	488.890699
0.480000	521.057443
0.490000	557.055049
0.500000	596.977712
0.510000	640.857975
0.520000	688.610019
0.530000	739.879039
0.540000	793.825782
0.550000	849.277458
0.560000	904.688008
0.570000	958.802517
0.580000	1010.985812
0.590000	1060.741669
0.600000	1107.621007
0.610000	1151.224324
0.620000	1191.211395
0.630000	1227.310557
0.640000	1259.326536
0.650000	1287.146700
0.660000	1310.746000
0.670000	1330.191314
0.680000	1345.646836
0.690000	1357.384636
0.700000	1365.812117
0.710000	1371.553827
0.720000	1375.624318
0.730000	1379.491010
0.740000	1384.883368
0.750000	1393.458244
0.760000	1406.026475
0.770000	1422.834568
0.780000	1444.067119
0.790000	1469.889627
0.800000	1500.453045
0.810000	1535.894291
0.820000	1576.335151
0.830000	1621.879753
0.840000	1672.610313
0.850000	1728.580660
0.860000	1789.806443
0.870000	1856.249640
0.880000	1927.790991
0.890000	2004.171049
0.900000	2084.844882
0.910000	2168.674044
0.920000	2254.024215
0.930000	2338.795360
0.940000	2421.270744
0.950000	2500.542337
0.960000	2576.025635
0.970000	2647.225974
0.980000	2713.713961
0.990000	2775.133390
1.000000	2831.210441
1.010000	2881.761769
1.020000	2926.701032
1.030000	2966.044028
1.040000	2999.913139
1.050000	3028.542730
1.060000	3052.289599
1.070000	3071.659872
1.080000	3087.388821
1.090000	3100.615484
1.100000	3113.097960
1.110000	3127.013728
1.120000	3144.418741
1.130000	3166.615523
1.140000	3194.080969
1.150000	3227.098867
1.160000	3265.894813
1.170000	3310.658457
1.180000	3361.549440
1.190000	3418.698631
1.200000	3482.207016
1.210000	3552.142640
1.220000	3628.535359
1.230000	3711.368579
1.240000	3800.565901
1.250000	3895.966996
1.260000	3997.275278
1.270000	4103.929293
1.280000	4214.685673
1.290000	4327.663271
1.300000	4440.421172
1.310000	4550.831453
1.320000	4657.535485
1.330000	4759.703003
1.340000	4856.686236
1.350000	4947.946247
1.360000	5033.040015
