TimeStep	Mean Squared Displacement
0.000000	0.000000
0.010000	0.000248
0.020000	0.002687
0.030000	0.012697
0.040000	0.041035
0.050000	0.105972
0.060000	0.235516
0.070000	0.469568
0.080000	0.861879
0.090000	1.481666
0.100000	2.414766
0.110000	3.764202
0.120000	5.650090
0.130000	8.208801
0.140000	11.591359
0.150000	15.961052
0.160000	21.490299
0.170000	28.356823
0.180000	36.739222
0.190000	46.812054
0.200000	58.740577
0.210000	72.675295
0.220000	88.746465
0.230000	107.058695
0.240000	127.685662
0.250000	150.664604
0.260000	175.988525
0.270000	203.583100
0.280000	233.295184
0.290000	264.910976
0.300000	298.163633
0.310000	332.768218
0.320000	368.432736
0.330000	404.845590
0.340000	441.678067
0.350000	478.590122
0.360000	515.237199
0.370000	551.277428
0.380000	586.378864
0.390000	620.226536
0.400000	652.529077
0.410000	683.024762
0.420000	711.486785
0.430000	737.727654
0.440000	761.602597
0.450000	783.011917
0.460000	801.902279
0.470000	818.266915
0.480000	832.144814
0.490000	843.618973
0.500000	852.813809
0.510000	859.891914
0.520000	865.050326
0.530000	868.516678
0.540000	870.545865
0.550000	871.419261
0.560000	871.456390
0.570000	871.053971
0.580000	870.639981
0.590000	870.645702
0.600000	871.475559
0.610000	873.457274
0.620000	876.883600
0.630000	882.031247
0.640000	889.164789
0.650000	898.537782
0.660000	910.393188
0.670000	924.963539
0.680000	942.470894
0.690000	963.126543
0.700000	987.130384
0.710000	1014.669914
0.720000	1045.918760
0.730000	1081.034751
0.740000	1120.157496
0.750000	1163.405526
0.760000	1210.873022
0.770000	1262.626233
0.780000	1318.699677
0.790000	1379.092233
0.800000	1443.763255
0.810000	1512.628792
0.820000	1585.557918
0.830000	1662.368883
0.840000	1742.823755
0.850000	1826.615201
0.860000	1913.312854
0.870000	2002.354673
0.880000	2093.099792
0.890000	2184.860897
0.900000	2276.990982
0.910000	2368.896922
0.920000	2459.993790
0.930000	2549.698938
0.940000	2637.437785
0.950000	2722.652163
0.960000	2804.809327
0.970000	2883.410973
0.980000	2958.001885
0.990000	3028.177959
1.000000	3093.593376
1.010000	3153.966745
1.020000	3209.086081
1.030000	3258.812498
1.040000	3303.082557
1.050000	3341.909238
1.060000	3375.381552
1.070000	3403.662843
1.080000	3426.987879
1.090000	3445.658876
1.100000	3460.040658
1.110000	3470.555253
1.120000	3477.676461
1.130000	3481.925653
1.140000	3483.872752
1.150000	3484.161880
1.160000	3483.574397
1.170000	3482.954103
1.180000	3483.163253
1.190000	3485.005137
1.200000	3489.139966
1.210000	3496.146408
1.220000	3506.564431
1.230000	3520.902319
1.240000	3539.636847
1.250000	3563.211971
1.260000	3592.037196
1.270000	3626.485867
1.280000	3666.893430
1.290000	3713.555623
1.300000	3766.726542
1.310000	3826.616560
1.320000	3893.390063
1.330000	3967.163006
1.340000	4048.000305
1.350000	4135.913134
1.360000	4230.856167
1.370000	4332.724866
1.380000	4441.352908
1.390000	4556.509815
1.400000	4677.898815
1.410000	4805.154800
1.420000	4937.841724
1.430000	5075.447061
1.440000	5217.362377
1.450000	5362.806963
1.460000	5510.830666
1.470000	5660.371999
1.480000	5810.329977
1.490000	5959.701498
1.500000	6107.583902
1.510000	6253.121630
1.520000	6395.481362
1.530000	6533.857038
1.540000	6667.479595
1.550000	6795.627763
1.560000	6917.638841
1.570000	7032.918945
1.580000	7140.952413
1.590000	7241.310109
1.600000	7333.656435
1.610000	7417.754888
1.620000	7493.472054
1.630000	7560.779951
1.640000	7619.756719
1.650000	7670.585644
1.660000	7713.552605
1.670000	7749.042052
1.680000	7777.531685
1.690000	7799.586095
1.700000	7815.849779
1.710000	7827.040301
1.720000	7833.943473
1.730000	7837.416492
