TimeStep	Mean Squared Displacement
2.570000	17720.508525
2.580000	17749.806562
2.590000	17771.926073
2.600000	17787.965328
2.610000	17799.083453
2.620000	17806.478306
2.630000	17811.333887
2.640000	17814.682087
2.650000	17817.366968
2.660000	17820.143367
2.670000	17823.816933
2.680000	17829.332471
2.690000	17837.794623
2.700000	17850.373282
2.710000	17868.237903
2.720000	17892.525760
2.730000	17924.324511
2.740000	17964.659910
2.750000	18014.486035
2.760000	18074.677021
2.770000	18146.019876
2.780000	18229.208156
2.790000	18324.836367
2.800000	18433.395015
2.810000	18555.266250
2.820000	18690.720072
2.830000	18839.911105
2.840000	19002.875947
2.850000	19179.531132
2.860000	19369.671765
2.870000	19572.970902
2.880000	19788.979760
2.890000	20017.128868
2.900000	20256.730285
2.910000	20506.981022
2.920000	20766.967902
2.930000	21035.674267
2.940000	21311.989615
2.950000	21594.726268
2.960000	21882.664053
2.970000	22174.658727
2.980000	22469.714760
2.990000	22766.975802
3.000000	23065.535039
3.010000	23364.362109
3.020000	23662.215596
3.030000	23957.701969
3.040000	24249.371857
3.050000	24535.776318
3.060000	24815.496095
3.070000	25087.164077
3.080000	25349.484919
3.090000	25601.252963
3.100000	25841.368726
3.110000	26068.853955
3.120000	26282.865087
3.130000	26482.704961
3.140000	26667.832600
3.150000	26837.870902
3.160000	26992.612136
3.170000	27132.021141
3.180000	27256.236200
3.190000	27365.567578
3.200000	27460.493798
3.210000	27541.655698
3.220000	27609.848438
3.230000	27666.011558
3.240000	27711.217268
3.250000	27746.657048
3.260000	27773.626519
3.270000	27793.507992
3.280000	27807.748223
3.290000	27817.820565
3.300000	27825.118750
3.310000	27830.840536
3.320000	27836.012976
3.330000	27841.590443
3.340000	27848.652161
3.350000	27858.432952
3.360000	27872.318901
3.370000	27891.750162
3.380000	27918.154010
3.390000	27952.910998
3.400000	27997.334744
3.410000	28052.657058
3.420000	28120.015843
3.430000	28200.444787
3.440000	28294.864393
3.450000	28404.074147
3.460000	28528.745666
3.470000	28669.416785
3.480000	28826.486521
3.490000	29000.210902
3.500000	29190.699672
3.510000	29397.913885
3.520000	29621.664436
3.530000	29861.611589
3.540000	30117.265568
3.550000	30387.988315
3.560000	30672.996507
3.570000	30971.365969
3.580000	31282.037678
3.590000	31603.825696
3.600000	31935.427853
3.610000	32275.441817
3.620000	32622.399688
3.630000	32974.856573
3.640000	33331.476838
3.650000	33691.090140
3.660000	34052.614091
3.670000	34414.887311
3.680000	34776.584814
3.690000	35136.165509
3.700000	35491.953836
3.710000	35842.233276
3.720000	36185.304469
3.730000	36519.517110
3.740000	36843.295072
3.750000	37155.158432
3.760000	37453.743435
3.770000	37737.820680
3.780000	38006.311501
3.790000	38258.302394
3.800000	38493.057340
