# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0750209 0.004
38 0.945 0.355367 0.024
39 0.9702 1.31487 0.102
40 0.9954 2.41822 0.253
41 1.0206 3.88457 0.508
42 1.0458 4.97637 0.851
43 1.071 7.04134 1.36
44 1.0962 6.51006 1.853
45 1.1214 6.09459 2.336
46 1.1466 5.75723 2.813
47 1.1718 4.86513 3.234
48 1.197 4.75105 3.663
49 1.2222 4.33408 4.071
50 1.2474 3.78342 4.442
51 1.2726 3.50769 4.8
52 1.2978 3.15611 5.135
53 1.323 2.83758 5.448
54 1.3482 2.71504 5.759
55 1.3734 2.51537 6.058
56 1.3986 2.19029 6.328
57 1.4238 2.29348 6.621
58 1.449 1.87431 6.869
59 1.4742 1.73046 7.106
60 1.4994 1.9057 7.376
61 1.5246 1.75448 7.633
62 1.5498 1.67146 7.886
63 1.575 1.60561 8.137
64 1.6002 1.61741 8.398
65 1.6254 1.53761 8.654
66 1.6506 1.44443 8.902
67 1.6758 1.68384 9.2
68 1.701 1.57399 9.487
69 1.7262 1.74138 9.814
70 1.7514 1.59334 10.122
71 1.7766 1.84006 10.488
72 1.8018 1.79383 10.855
73 1.827 1.91583 11.258
74 1.8522 2.08608 11.709
75 1.8774 2.14301 12.185
76 1.9026 2.18305 12.683
77 1.9278 2.0922 13.173
78 1.953 2.14672 13.689
79 1.9782 2.20997 14.234
80 2.0034 2.23775 14.8
81 2.0286 2.30204 15.397
82 2.0538 2.43399 16.044
83 2.079 2.4708 16.717
84 2.1042 2.42989 17.395
85 2.1294 2.33423 18.062
86 2.1546 2.31754 18.74
87 2.1798 2.13402 19.379
88 2.205 2.23239 20.063
89 2.2302 2.1248 20.729
90 2.2554 2.14933 21.418
91 2.2806 1.9465 22.056
92 2.3058 2.04148 22.74
93 2.331 1.86908 23.38
94 2.3562 1.79501 24.008
95 2.3814 1.788 24.647
96 2.4066 1.66034 25.253
97 2.4318 1.60733 25.852
98 2.457 1.67178 26.488
99 2.4822 1.54272 27.087
100 2.5074 1.66835 27.748
1500 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0562657 0.003
38 0.945 0.284294 0.019
39 0.9702 0.977727 0.077
40 0.9954 2.32213 0.222
41 1.0206 2.95532 0.416
42 1.0458 4.04783 0.695
43 1.071 4.81412 1.043
44 1.0962 4.96507 1.419
45 1.1214 4.7192 1.793
46 1.1466 4.77959 2.189
47 1.1718 4.2411 2.556
48 1.197 3.78755 2.898
49 1.2222 3.61173 3.238
50 1.2474 3.42649 3.574
51 1.2726 3.22355 3.903
52 1.2978 2.7981 4.2
53 1.323 2.31177 4.455
54 1.3482 2.61028 4.754
55 1.3734 2.43965 5.044
56 1.3986 1.93881 5.283
57 1.4238 1.83948 5.518
58 1.449 1.7685 5.752
59 1.4742 1.9276 6.016
60 1.4994 1.69396 6.256
61 1.5246 1.75448 6.513
62 1.5498 1.69789 6.77
63 1.575 1.70156 7.036
64 1.6002 1.51826 7.281
65 1.6254 1.68177 7.561
66 1.6506 1.47937 7.815
67 1.6758 1.59343 8.097
68 1.701 1.58496 8.386
69 1.7262 1.61358 8.689
70 1.7514 1.75371 9.028
71 1.7766 1.58365 9.343
72 1.8018 1.52989 9.656
73 1.827 1.44995 9.961
74 1.8522 1.76692 10.343
75 1.8774 1.71981 10.725
76 1.9026 1.83675 11.144
77 1.9278 1.97264 11.606
78 1.953 1.88878 12.06
79 1.9782 1.91801 12.533
80 2.0034 1.96891 13.031
81 2.0286 1.93957 13.534
82 2.0538 1.7907 14.01
83 2.079 1.94947 14.541
84 2.1042 1.88872 15.068
85 2.1294 2.05076 15.654
86 2.1546 1.95863 16.227
87 2.1798 2.06055 16.844
88 2.205 1.93539 17.437
89 2.2302 1.98762 18.06
90 2.2554 1.92785 18.678
91 2.2806 1.75734 19.254
92 2.3058 1.75197 19.841
93 2.331 1.87492 20.483
94 2.3562 1.77786 21.105
95 2.3814 1.6509 21.695
96 2.4066 1.6987 22.315
97 2.4318 1.65831 22.933
98 2.457 1.69281 23.577
99 2.4822 1.46803 24.147
100 2.5074 1.60777 24.784
2000 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0750209 0.004
38 0.945 0.355367 0.024
39 0.9702 0.741724 0.068
40 0.9954 1.64951 0.171
41 1.0206 3.09243 0.374
42 1.0458 3.65611 0.626
43 1.071 3.81809 0.902
44 1.0962 4.46328 1.24
45 1.1214 4.42899 1.591
46 1.1466 4.03127 1.925
47 1.1718 3.55929 2.233
48 1.197 3.38886 2.539
49 1.2222 3.53737 2.872
50 1.2474 3.11036 3.177
51 1.2726 2.64547 3.447
52 1.2978 2.40241 3.702
53 1.323 2.29363 3.955
54 1.3482 2.46187 4.237
55 1.3734 1.98537 4.473
56 1.3986 1.82524 4.698
57 1.4238 1.69858 4.915
58 1.449 1.73827 5.145
59 1.4742 1.58443 5.362
60 1.4994 1.81395 5.619
61 1.5246 1.57016 5.849
62 1.5498 1.58558 6.089
63 1.575 1.51605 6.326
64 1.6002 1.44389 6.559
65 1.6254 1.57966 6.822
66 1.6506 1.6541 7.106
67 1.6758 1.36741 7.348
68 1.701 1.47527 7.617
69 1.7262 1.44316 7.888
70 1.7514 1.6399 8.205
71 1.7766 1.53841 8.511
72 1.8018 1.57877 8.834
73 1.827 1.65437 9.182
74 1.8522 1.5449 9.516
75 1.8774 1.62976 9.878
76 1.9026 1.57373 10.237
77 1.9278 1.77196 10.652
78 1.953 1.69741 11.06
79 1.9782 1.8288 11.511
80 2.0034 1.83844 11.976
81 2.0286 1.83932 12.453
82 2.0538 1.72298 12.911
83 2.079 1.83566 13.411
84 2.1042 1.74536 13.898
85 2.1294 1.88628 14.437
86 2.1546 1.89369 14.991
87 2.1798 1.81676 15.535
88 2.205 1.73631 16.067
89 2.2302 1.87595 16.655
90 2.2554 1.79683 17.231
91 2.2806 1.80921 17.824
92 2.3058 1.79674 18.426
93 2.331 1.59164 18.971
94 2.3562 1.64067 19.545
95 2.3814 1.51379 20.086
96 2.4066 1.6439 20.686
97 2.4318 1.41949 21.215
98 2.457 1.43784 21.762
99 2.4822 1.52211 22.353
100 2.5074 1.48915 22.943
2500 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0562657 0.003
38 0.945 0.195452 0.014
39 0.9702 0.674294 0.054
40 0.9954 1.58545 0.153
41 1.0206 2.94009 0.346
42 1.0458 3.26438 0.571
43 1.071 4.1501 0.871
44 1.0962 3.61816 1.145
45 1.1214 4.08829 1.469
46 1.1466 3.78987 1.783
47 1.1718 3.61707 2.096
