# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0096 0 0
2 0.0288 0 0
3 0.048 0 0
4 0.0672 0 0
5 0.0864 0 0
6 0.1056 0 0
7 0.1248 0 0
8 0.144 0 0
9 0.1632 0 0
10 0.1824 0 0
11 0.2016 0 0
12 0.2208 0 0
13 0.24 0 0
14 0.2592 0 0
15 0.2784 0 0
16 0.2976 0 0
17 0.3168 0 0
18 0.336 0 0
19 0.3552 0 0
20 0.3744 0 0
21 0.3936 0 0
22 0.4128 0 0
23 0.432 0 0
24 0.4512 0 0
25 0.4704 0 0
26 0.4896 0 0
27 0.5088 0 0
28 0.528 0 0
29 0.5472 0 0
30 0.5664 0 0
31 0.5856 0 0
32 0.6048 0 0
33 0.624 0 0
34 0.6432 0 0
35 0.6624 0 0
36 0.6816 0 0
37 0.7008 0 0
38 0.72 0 0
39 0.7392 0 0
40 0.7584 0 0
41 0.7776 0 0
42 0.7968 0 0
43 0.816 0 0
44 0.8352 0 0
45 0.8544 0 0
46 0.8736 0 0
47 0.8928 0 0
48 0.912 0 0
49 0.9312 0.0240179 0.001
50 0.9504 0.25363 0.012
51 0.9696 0.753209 0.046
52 0.9888 1.36328 0.11
53 1.008 2.07025 0.211
54 1.0272 2.92129 0.359
55 1.0464 3.10039 0.522
56 1.0656 4.0168 0.741
57 1.0848 4.10594 0.973
58 1.104 4.57954 1.241
59 1.1232 4.24272 1.498
60 1.1424 4.06939 1.753
61 1.1616 3.79706 1.999
62 1.1808 3.58496 2.239
63 1.2 3.0662 2.451
64 1.2192 3.02643 2.667
65 1.2384 3.09628 2.895
66 1.2576 2.67324 3.098
67 1.2768 2.86174 3.322
68 1.296 2.33118 3.51
69 1.3152 2.27565 3.699
70 1.3344 2.26912 3.893
71 1.3536 1.98923 4.068
72 1.3728 1.95608 4.245
73 1.392 1.94549 4.426
74 1.4112 1.872 4.605
75 1.4304 1.58796 4.761
76 1.4496 1.73449 4.936
77 1.4688 1.55428 5.097
78 1.488 1.63672 5.271
79 1.5072 1.5036 5.435
80 1.5264 1.6001 5.614
81 1.5456 1.50828 5.787
82 1.5648 1.34391 5.945
83 1.584 1.39454 6.113
84 1.6032 1.42616 6.289
85 1.6224 1.46382 6.474
86 1.6416 1.52252 6.671
87 1.6608 1.51017 6.871
88 1.68 1.34302 7.053
89 1.6992 1.25514 7.227
90 1.7184 1.21314 7.399
91 1.7376 1.49 7.615
92 1.7568 1.47785 7.834
93 1.776 1.71019 8.093
94 1.7952 1.20204 8.279
95 1.8144 1.32857 8.489
96 1.8336 1.46815 8.726
97 1.8528 1.32261 8.944
98 1.872 1.51552 9.199
99 1.8912 1.4849 9.454
100 1.9104 1.56363 9.728
1500 100
1 0.0096 0 0
2 0.0288 0 0
3 0.048 0 0
4 0.0672 0 0
5 0.0864 0 0
6 0.1056 0 0
7 0.1248 0 0
8 0.144 0 0
9 0.1632 0 0
10 0.1824 0 0
11 0.2016 0 0
12 0.2208 0 0
13 0.24 0 0
14 0.2592 0 0
15 0.2784 0 0
16 0.2976 0 0
17 0.3168 0 0
18 0.336 0 0
19 0.3552 0 0
20 0.3744 0 0
21 0.3936 0 0
22 0.4128 0 0
23 0.432 0 0
24 0.4512 0 0
25 0.4704 0 0
26 0.4896 0 0
27 0.5088 0 0
28 0.528 0 0
29 0.5472 0 0
30 0.5664 0 0
31 0.5856 0 0
32 0.6048 0 0
33 0.624 0 0
34 0.6432 0 0
35 0.6624 0 0
36 0.6816 0 0
37 0.7008 0 0
38 0.72 0 0
39 0.7392 0 0
40 0.7584 0 0
41 0.7776 0 0
42 0.7968 0 0
43 0.816 0 0
44 0.8352 0 0
45 0.8544 0 0
46 0.8736 0 0
47 0.8928 0 0
48 0.912 0 0
49 0.9312 0.144107 0.006
50 0.9504 0.115286 0.011
51 0.9696 0.62029 0.039
52 0.9888 0.809448 0.077
53 1.008 1.74229 0.162
54 1.0272 2.19097 0.273
55 1.0464 2.66291 0.413
56 1.0656 3.28313 0.592
57 1.0848 3.11485 0.768
58 1.104 3.57136 0.977
59 1.1232 3.54936 1.192
60 1.1424 2.85655 1.371
61 1.1616 2.93269 1.561
62 1.1808 2.8381 1.751
63 1.2 3.02281 1.96
64 1.2192 3.1105 2.182
65 1.2384 2.40369 2.359
66 1.2576 2.09382 2.518
67 1.2768 2.05687 2.679
68 1.296 2.28158 2.863
69 1.3152 2.14321 3.041
70 1.3344 1.53224 3.172
71 1.3536 1.97787 3.346
72 1.3728 1.91188 3.519
73 1.392 1.53704 3.662
74 1.4112 1.81971 3.836
75 1.4304 1.62867 3.996
76 1.4496 1.6552 4.163
77 1.4688 1.55428 4.324
78 1.488 1.62731 4.497
79 1.5072 1.5311 4.664
80 1.5264 1.43025 4.824
81 1.5456 1.39494 4.984
82 1.5648 1.3269 5.14
83 1.584 1.21192 5.286
84 1.6032 1.44237 5.464
85 1.6224 1.30557 5.629
86 1.6416 1.22883 5.788
87 1.6608 1.23079 5.951
88 1.68 1.29137 6.126
89 1.6992 1.40662 6.321
90 1.7184 1.31894 6.508
91 1.7376 1.24166 6.688
92 1.7568 1.36313 6.89
93 1.776 1.22157 7.075
94 1.7952 1.18265 7.258
95 1.8144 1.23367 7.453
96 1.8336 1.10266 7.631
97 1.8528 1.31654 7.848
98 1.872 1.25402 8.059
99 1.8912 1.18792 8.263
100 1.9104 1.41526 8.511
2000 100
1 0.0096 0 0
2 0.0288 0 0
3 0.048 0 0
4 0.0672 0 0
5 0.0864 0 0
6 0.1056 0 0
7 0.1248 0 0
8 0.144 0 0
9 0.1632 0 0
10 0.1824 0 0
11 0.2016 0 0
12 0.2208 0 0
13 0.24 0 0
14 0.2592 0 0
15 0.2784 0 0
16 0.2976 0 0
17 0.3168 0 0
18 0.336 0 0
19 0.3552 0 0
20 0.3744 0 0
21 0.3936 0 0
22 0.4128 0 0
23 0.432 0 0
24 0.4512 0 0
25 0.4704 0 0
26 0.4896 0 0
27 0.5088 0 0
28 0.528 0 0
29 0.5472 0 0
30 0.5664 0 0
31 0.5856 0 0
32 0.6048 0 0
33 0.624 0 0
34 0.6432 0 0
35 0.6624 0 0
36 0.6816 0 0
37 0.7008 0 0
38 0.72 0 0
39 0.7392 0 0
40 0.7584 0 0
41 0.7776 0 0
42 0.7968 0 0
43 0.816 0 0
44 0.8352 0 0
45 0.8544 0 0
46 0.8736 0 0
47 0.8928 0.0261283 0.001
48 0.912 0 0.001
49 0.9312 0.0240179 0.002
50 0.9504 0.184458 0.01
51 0.9696 0.354451 0.026
52 0.9888 0.979858 0.072
53 1.008 1.55781 0.148
54 1.0272 1.85541 0.242
55 1.0464 2.68193 0.383
56 1.0656 2.6045 0.525
57 1.0848 2.81399 0.684
58 1.104 2.93911 0.856
59 1.1232 3.20267 1.05
60 1.1424 2.69697 1.219
61 1.1616 2.979 1.412
62 1.1808 2.91278 1.607
63 1.2 2.32857 1.768
64 1.2192 2.45197 1.943
65 1.2384 2.40369 2.12
66 1.2576 1.92263 2.266
67 1.2768 2.06965 2.428
68 1.296 2.04598 2.593
69 1.3152 1.89036 2.75
70 1.3344 1.81296 2.905
71 1.3536 1.71642 3.056
72 1.3728 1.69085 3.209
73 1.392 1.61228 3.359
74 1.4112 1.49551 3.502
75 1.4304 1.59814 3.659
76 1.4496 1.37768 3.798
77 1.4688 1.39982 3.943
78 1.488 1.33571 4.085
79 1.5072 1.38441 4.236
80 1.5264 1.23359 4.374
81 1.5456 1.43853 4.539
82 1.5648 1.19931 4.68
83 1.584 1.27002 4.833
84 1.6032 1.23979 4.986
85 1.6224 1.29765 5.15
86 1.6416 1.14382 5.298
87 1.6608 1.14018 5.449
88 1.68 1.1733 5.608
89 1.6992 1.24071 5.78
90 1.7184 1.29778 5.964
91 1.7376 1.21407 6.14
92 1.7568 1.17418 6.314
93 1.776 1.20836 6.497
94 1.7952 1.2085 6.684
95 1.8144 1.24 6.88
96 1.8336 1.43718 7.112
97 1.8528 1.23767 7.316
98 1.872 1.08761 7.499
99 1.8912 1.33932 7.729
100 1.9104 1.08427 7.919
2500 100
1 0.0096 0 0
2 0.0288 0 0
3 0.048 0 0
4 0.0672 0 0
5 0.0864 0 0
6 0.1056 0 0
7 0.1248 0 0
8 0.144 0 0
9 0.1632 0 0
10 0.1824 0 0
11 0.2016 0 0
12 0.2208 0 0
13 0.24 0 0
14 0.2592 0 0
15 0.2784 0 0
16 0.2976 0 0
17 0.3168 0 0
18 0.336 0 0
19 0.3552 0 0
20 0.3744 0 0
21 0.3936 0 0
22 0.4128 0 0
23 0.432 0 0
24 0.4512 0 0
25 0.4704 0 0
26 0.4896 0 0
27 0.5088 0 0
28 0.528 0 0
29 0.5472 0 0
30 0.5664 0 0
31 0.5856 0 0
32 0.6048 0 0
33 0.624 0 0
34 0.6432 0 0
35 0.6624 0 0
36 0.6816 0 0
37 0.7008 0 0
38 0.72 0 0
39 0.7392 0 0
40 0.7584 0 0
41 0.7776 0 0
42 0.7968 0 0
43 0.816 0 0
44 0.8352 0 0
45 0.8544 0 0
46 0.8736 0 0
47 0.8928 0 0
48 0.912 0 0
49 0.9312 0 0
50 0.9504 0.0922291 0.004
51 0.9696 0.443064 0.024
52 0.9888 0.68164 0.056
53 1.008 1.43483 0.126
54 1.0272 1.93437 0.224
55 1.0464 2.24445 0.342
56 1.0656 2.05425 0.454
57 1.0848 2.83169 0.614
58 1.104 2.73405 0.774
59 1.1232 2.50931 0.926
60 1.1424 3.07997 1.119
61 1.1616 2.53138 1.283
62 1.1808 2.5991 1.457
63 1.2 2.50213 1.63
64 1.2192 2.38191 1.8
65 1.2384 2.19999 1.962
66 1.2576 2.12016 2.123
67 1.2768 1.69916 2.256
68 1.296 1.84758 2.405
69 1.3152 1.89036 2.562
70 1.3344 1.87144 2.722
71 1.3536 1.65959 2.868
72 1.3728 1.52508 3.006
73 1.392 1.38656 3.135
74 1.4112 1.58963 3.287
75 1.4304 1.43527 3.428
76 1.4496 1.34794 3.564
77 1.4688 1.13916 3.682
78 1.488 1.35452 3.826
79 1.5072 1.36607 3.975
80 1.5264 1.26041 4.116
81 1.5456 1.29032 4.264
