ITEM: TIMESTEP
11357
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.7144176165949062e+01
0.0000000000000000e+00 2.7144176165949062e+01
0.0000000000000000e+00 2.7144176165949062e+01
ITEM: ATOMS id type xs ys zs
64 1 0.763886 0.0617492 0.128617
86 1 0.643922 0.188914 0.0733218
28 1 0.0159408 0.32145 0.0199966
2 1 0.821808 0.439943 0.161111
182 1 0.754594 0.355316 0.0464576
41 1 0.0916893 0.53435 0.0197931
47 1 0.225044 0.953479 0.129864
42 1 0.825919 0.737733 0.96427
192 1 0.838915 0.116715 0.0178167
98 1 0.134311 0.415473 0.103233
187 1 0.628395 0.47195 0.00523399
191 1 0.352538 0.479936 0.0677887
173 1 0.740849 0.511844 0.1864
48 1 0.689987 0.630167 0.126877
150 1 0.652864 0.778308 0.953228
44 1 0.390443 0.717315 0.107347
151 1 0.538892 0.831773 0.971863
12 1 0.938051 0.934702 0.110645
116 1 0.829059 0.994669 0.0494762
172 1 0.338486 0.0423746 0.100467
99 1 0.222264 0.142384 0.0882033
133 1 0.588065 0.373231 0.160478
62 1 0.138203 0.411184 0.0550466
35 1 0.527244 0.493958 0.14909
4 1 0.72205 0.596662 0.175361
180 1 0.933117 0.724508 0.160871
154 1 0.297586 0.841979 0.0905666
157 1 0.36863 0.835339 0.164382
11 1 0.674755 0.85055 0.219162
16 1 0.711485 0.931522 0.12511
176 1 0.132973 0.090646 0.0455338
129 1 0.815963 0.0515581 0.0184097
82 1 0.0418386 0.212821 0.233043
197 1 0.881515 0.0610925 0.259218
33 1 0.990258 0.377719 0.0965794
127 1 0.365706 0.48785 0.205041
137 1 0.08855 0.503089 0.191466
65 1 0.801436 0.484084 0.280602
19 1 0.943249 0.555717 0.214774
114 1 0.886509 0.666221 0.154857
105 1 0.118671 0.72302 0.20691
126 1 0.875582 0.625466 0.142734
95 1 0.207139 0.864614 0.126213
161 1 0.880976 0.81791 0.230146
175 1 0.223432 0.788949 0.155319
52 1 0.385769 0.0446654 0.351255
169 1 0.541998 0.425144 0.234308
92 1 0.962415 0.465935 0.318023
188 1 0.19509 0.578655 0.247014
30 1 0.94852 0.588038 0.185965
110 1 0.28888 0.662718 0.0855191
43 1 0.17402 0.665943 0.199105
111 1 0.295001 0.733544 0.279671
49 1 0.6193 0.685571 0.210073
196 1 0.193905 0.795365 0.239336
124 1 0.279355 0.870348 0.149695
123 1 0.32365 0.949495 0.276477
87 1 0.867589 0.978291 0.206381
