# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
500 100
1 0.0066 0 0
2 0.0198 0 0
3 0.033 0 0
4 0.0462 0 0
5 0.0594 0 0
6 0.0726 0 0
7 0.0858 0 0
8 0.099 0 0
9 0.1122 0 0
10 0.1254 0 0
11 0.1386 0 0
12 0.1518 0 0
13 0.165 0 0
14 0.1782 0 0
15 0.1914 0 0
16 0.2046 0 0
17 0.2178 0 0
18 0.231 0 0
19 0.2442 0 0
20 0.2574 0 0
21 0.2706 0 0
22 0.2838 0 0
23 0.297 0 0
24 0.3102 0 0
25 0.3234 0 0
26 0.3366 0 0
27 0.3498 0 0
28 0.363 0 0
29 0.3762 0 0
30 0.3894 0 0
31 0.4026 0 0
32 0.4158 0 0
33 0.429 0 0
34 0.4422 0 0
35 0.4554 0 0
36 0.4686 0 0
37 0.4818 0 0
38 0.495 0 0
39 0.5082 0 0
40 0.5214 0 0
41 0.5346 0 0
42 0.5478 0 0
43 0.561 0 0
44 0.5742 0 0
45 0.5874 0 0
46 0.6006 0 0
47 0.6138 0 0
48 0.627 0 0
49 0.6402 0 0
50 0.6534 0 0
51 0.6666 0 0
52 0.6798 0 0
53 0.693 0 0
54 0.7062 0 0
55 0.7194 0 0
56 0.7326 0 0
57 0.7458 0 0
58 0.759 0 0
59 0.7722 0 0
60 0.7854 0 0
61 0.7986 0 0
62 0.8118 0 0
63 0.825 0 0
64 0.8382 0 0
65 0.8514 0 0
66 0.8646 0 0
67 0.8778 0 0
68 0.891 0 0
69 0.9042 0 0
70 0.9174 0 0
71 0.9306 0 0
72 0.9438 0.0677206 0.00025
73 0.957 0.197596 0.001
74 0.9702 0.320427 0.00225
75 0.9834 0.343071 0.003625
76 0.9966 0.576983 0.006
77 1.0098 0.591576 0.0085
78 1.023 0.806972 0.012
79 1.0362 1.12363 0.017
80 1.0494 1.15032 0.02225
81 1.0626 1.28219 0.02825
82 1.0758 1.35517 0.03475
83 1.089 1.32251 0.04125
84 1.1022 1.56413 0.049125
85 1.1154 1.40611 0.056375
86 1.1286 1.56285 0.064625
87 1.1418 1.55006 0.073
88 1.155 1.58266 0.08175
89 1.1682 1.08297 0.087875
90 1.1814 1.36144 0.09575
91 1.1946 1.26812 0.10325
92 1.2078 1.53001 0.1125
93 1.221 1.35549 0.120875
94 1.2342 1.20785 0.1285
95 1.2474 1.25996 0.136625
96 1.2606 1.23371 0.14475
97 1.2738 1.07815 0.152
98 1.287 1.03794 0.159125
99 1.3002 0.909921 0.1655
100 1.3134 0.996632 0.172625
1000 100
1 0.0066 0 0
2 0.0198 0 0
3 0.033 0 0
4 0.0462 0 0
5 0.0594 0 0
6 0.0726 0 0
7 0.0858 0 0
8 0.099 0 0
9 0.1122 0 0
10 0.1254 0 0
11 0.1386 0 0
12 0.1518 0 0
13 0.165 0 0
14 0.1782 0 0
15 0.1914 0 0
16 0.2046 0 0
17 0.2178 0 0
18 0.231 0 0
19 0.2442 0 0
20 0.2574 0 0
21 0.2706 0 0
22 0.2838 0 0
23 0.297 0 0
24 0.3102 0 0
25 0.3234 0 0
26 0.3366 0 0
27 0.3498 0 0
28 0.363 0 0
29 0.3762 0 0
30 0.3894 0 0
31 0.4026 0 0
32 0.4158 0 0
33 0.429 0 0
34 0.4422 0 0
35 0.4554 0 0
36 0.4686 0 0
37 0.4818 0 0
38 0.495 0 0
39 0.5082 0 0
40 0.5214 0 0
41 0.5346 0 0
42 0.5478 0 0
43 0.561 0 0
44 0.5742 0 0
45 0.5874 0 0
46 0.6006 0 0
47 0.6138 0 0
48 0.627 0 0
49 0.6402 0 0
50 0.6534 0 0
51 0.6666 0 0
52 0.6798 0 0
53 0.693 0 0
54 0.7062 0 0
55 0.7194 0 0
56 0.7326 0 0
57 0.7458 0 0
58 0.759 0 0
59 0.7722 0 0
60 0.7854 0 0
61 0.7986 0 0
62 0.8118 0 0
63 0.825 0 0
64 0.8382 0 0
65 0.8514 0 0
66 0.8646 0 0
67 0.8778 0 0
68 0.891 0 0
69 0.9042 0 0
70 0.9174 0 0
71 0.9306 0 0
72 0.9438 0.0338603 0.000125
73 0.957 0.0658653 0.000375
74 0.9702 0.160213 0.001
75 0.9834 0.249506 0.002
76 0.9966 0.546616 0.00425
77 1.0098 0.532419 0.0065
78 1.023 0.893433 0.010375
79 1.0362 0.730362 0.013625
80 1.0494 1.23249 0.01925
81 1.0626 1.41576 0.025875
82 1.0758 1.82426 0.034625
83 1.089 1.55141 0.04225
84 1.1022 1.19172 0.04825
85 1.1154 1.33338 0.055125
86 1.1286 1.46813 0.062875
87 1.1418 1.06422 0.068625
88 1.155 1.33395 0.076
89 1.1682 1.32608 0.0835
90 1.1814 1.14534 0.090125
91 1.1946 1.20471 0.09725
92 1.2078 1.1992 0.1045
93 1.221 1.13295 0.1115
94 1.2342 1.04944 0.118125
95 1.2474 0.872278 0.12375
96 1.2606 1.13881 0.13125
97 1.2738 1.33839 0.14025
98 1.287 0.946891 0.14675
99 1.3002 0.89208 0.153
100 1.3134 1.04909 0.1605
