# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0156 0 0
2 0.0468 0 0
3 0.078 0 0
4 0.1092 0 0
5 0.1404 0 0
6 0.1716 0 0
7 0.2028 0 0
8 0.234 0 0
9 0.2652 0 0
10 0.2964 0 0
11 0.3276 0 0
12 0.3588 0 0
13 0.39 0 0
14 0.4212 0 0
15 0.4524 0 0
16 0.4836 0 0
17 0.5148 0 0
18 0.546 0 0
19 0.5772 0 0
20 0.6084 0 0
21 0.6396 0 0
22 0.6708 0 0
23 0.702 0 0
24 0.7332 0 0
25 0.7644 0 0
26 0.7956 0 0
27 0.8268 0 0
28 0.858 0 0
29 0.8892 0 0
30 0.9204 0.0453846 0.003
31 0.9516 0.622712 0.047
32 0.9828 2.03005 0.2
33 1.014 4.2379 0.54
34 1.0452 5.93611 1.046
35 1.0764 6.55933 1.639
36 1.1076 6.89496 2.299
37 1.1388 6.43341 2.95
38 1.17 5.52379 3.54
39 1.2012 5.08958 4.113
40 1.2324 4.61576 4.66
41 1.2636 3.66021 5.116
42 1.2948 3.25661 5.542
43 1.326 3.14161 5.973
44 1.3572 2.48396 6.33
45 1.3884 2.49325 6.705
46 1.4196 2.16228 7.045
47 1.4508 2.07028 7.385
48 1.482 1.76812 7.688
49 1.5132 2.04299 8.053
50 1.5444 1.72486 8.374
51 1.5756 1.55397 8.675
52 1.6068 1.43464 8.964
53 1.638 1.51426 9.281
54 1.6692 1.73418 9.658
55 1.7004 1.87503 10.081
56 1.7316 1.90638 10.527
57 1.7628 1.71577 10.943
58 1.794 1.92342 11.426
59 1.8252 2.04674 11.958
60 1.8564 2.28348 12.572
61 1.8876 2.22661 13.191
62 1.9188 2.38802 13.877
63 1.95 2.21784 14.535
64 1.9812 2.39017 15.267
65 2.0124 2.46221 16.045
66 2.0436 2.4766 16.852
67 2.0748 2.65277 17.743
68 2.106 2.47072 18.598
69 2.1372 2.41314 19.458
70 2.1684 2.39054 20.335
71 2.1996 2.22254 21.174
72 2.2308 2.21489 22.034
73 2.262 2.0966 22.871
74 2.2932 2.17886 23.765
75 2.3244 2.05434 24.631
76 2.3556 2.028 25.509
77 2.3868 1.96633 26.383
78 2.418 1.87426 27.238
79 2.4492 1.66229 28.016
80 2.4804 1.59157 28.78
81 2.5116 1.63152 29.583
82 2.5428 1.63732 30.409
83 2.574 1.594 31.233
84 2.6052 1.62592 32.094
85 2.6364 1.53234 32.925
86 2.6676 1.55975 33.791
87 2.6988 1.66291 34.736
88 2.73 1.50302 35.61
89 2.7612 1.50118 36.503
90 2.7924 1.59603 37.474
91 2.8236 1.61401 38.478
92 2.8548 1.63239 39.516
93 2.886 1.70039 40.621
94 2.9172 1.7124 41.758
95 2.9484 1.57168 42.824
96 2.9796 1.68619 43.992
97 3.0108 1.62031 45.138
98 3.042 1.57478 46.275
99 3.0732 1.50497 47.384
100 3.1044 1.57462 48.568
1500 100
1 0.0156 0 0
2 0.0468 0 0
3 0.078 0 0
4 0.1092 0 0
5 0.1404 0 0
6 0.1716 0 0
7 0.2028 0 0
8 0.234 0 0
9 0.2652 0 0
10 0.2964 0 0
11 0.3276 0 0
