# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1500 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0 0
24 0.94 0.281573 0.003125
25 0.98 1.78233 0.024625
26 1.02 4.14194 0.07875
27 1.06 6.08506 0.164625
28 1.1 6.96662 0.2705
29 1.14 7.32874 0.390125
30 1.18 6.48296 0.5035
31 1.22 5.27582 0.602125
32 1.26 5.15307 0.704875
33 1.3 4.63474 0.80325
34 1.34 4.12939 0.896375
35 1.38 3.63741 0.983375
36 1.42 3.30705 1.06713
37 1.46 3.09565 1.15
38 1.5 2.96815 1.23388
39 1.54 2.59774 1.31125
40 1.58 2.38815 1.38613
41 1.62 2.29443 1.46175
42 1.66 2.308 1.54163
43 1.7 2.26266 1.62375
44 1.74 2.36365 1.71362
45 1.78 2.29003 1.80475
46 1.82 2.25959 1.89875
47 1.86 2.2325 1.99575
48 1.9 2.15603 2.0935
49 1.94 2.21878 2.19838
50 1.98 2.30776 2.312
51 2.02 2.10019 2.41963
52 2.06 1.98189 2.52525
53 2.1 2.07187 2.64
54 2.14 1.893 2.74888
55 2.18 1.80322 2.8565
56 2.22 1.78932 2.96725
57 2.26 1.76552 3.0805
58 2.3 1.67078 3.1915
59 2.34 1.64505 3.30463
60 2.38 1.50412 3.41162
61 2.42 1.52279 3.52363
62 2.46 1.4161 3.63125
63 2.5 1.35204 3.73738
64 2.54 1.22649 3.83675
65 2.58 1.30239 3.94563
66 2.62 1.28903 4.05675
67 2.66 1.24211 4.16713
68 2.7 1.17964 4.27513
69 2.74 1.14545 4.38313
70 2.78 1.02129 4.48225
71 2.82 1.06636 4.58875
72 2.86 1.01849 4.69338
73 2.9 1.02965 4.80213
74 2.94 0.978789 4.90837
75 2.98 0.913461 5.01025
76 3.02 0.931986 5.117
77 3.06 0.876954 5.22012
78 3.1 0.831683 5.3205
79 3.14 0.935807 5.43638
80 3.18 0.865168 5.54625
81 3.22 0.874526 5.66012
82 3.26 0.83072 5.771
83 3.3 0.848177 5.887
84 3.34 0.827983 6.003
85 3.38 0.826798 6.12162
86 3.42 0.84161 6.24525
87 3.46 0.804804 6.36625
88 3.5 0.811701 6.49112
89 3.54 0.83794 6.623
90 3.58 0.826309 6.756
91 3.62 0.84005 6.89425
92 3.66 0.806185 7.02987
93 3.7 0.827382 7.17213
94 3.74 0.836819 7.31912
95 3.78 0.785766 7.46013
96 3.82 0.856022 7.617
97 3.86 0.796955 7.76613
98 3.9 0.833697 7.92538
99 3.94 0.816855 8.08463
100 3.98 0.830679 8.24987
2000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0 0
24 0.94 0.135155 0.0015
25 0.98 0.922251 0.012625
26 1.02 2.64969 0.04725
27 1.06 4.07442 0.10475
28 1.1 5.0584 0.181625
29 1.14 5.24575 0.26725
30 1.18 4.88902 0.35275
31 1.22 4.05884 0.428625
32 1.26 3.83032 0.505
33 1.3 3.1389 0.571625
34 1.34 2.91552 0.637375
35 1.38 2.68102 0.7015
36 1.42 2.54199 0.765875
37 1.46 2.47466 0.832125
38 1.5 2.14538 0.89275
39 1.54 2.06896 0.954375
40 1.58 1.92567 1.01475
41 1.62 2.00241 1.08075
42 1.66 1.81317 1.1435
43 1.7 1.93204 1.21362
44 1.74 1.91656 1.2865
45 1.78 2.06071 1.3685
46 1.82 1.92906 1.44875
47 1.86 2.03399 1.53713
48 1.9 2.03748 1.6295
49 1.94 1.91995 1.72025
50 1.98 1.90155 1.81388
51 2.02 1.93188 1.91288
52 2.06 1.82944 2.01038
53 2.1 1.84392 2.1125
54 2.14 1.77563 2.21462
55 2.18 1.81788 2.32313
56 2.22 1.70652 2.42875
57 2.26 1.68367 2.53675
58 2.3 1.61809 2.64425
59 2.34 1.53416 2.74975
60 2.38 1.49884 2.85637
61 2.42 1.37493 2.9575
62 2.46 1.42433 3.06575
63 2.5 1.28197 3.16637
64 2.54 1.25117 3.26775
65 2.58 1.22763 3.37038
66 2.62 1.29048 3.48163
67 2.66 1.24493 3.59225
68 2.7 1.24245 3.706
69 2.74 1.17859 3.81712
