# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0146 0 0
2 0.0438 0 0
3 0.073 0 0
4 0.1022 0 0
5 0.1314 0 0
6 0.1606 0 0
7 0.1898 0 0
8 0.219 0 0
9 0.2482 0 0
10 0.2774 0 0
11 0.3066 0 0
12 0.3358 0 0
13 0.365 0 0
14 0.3942 0 0
15 0.4234 0 0
16 0.4526 0 0
17 0.4818 0 0
18 0.511 0 0
19 0.5402 0 0
20 0.5694 0 0
21 0.5986 0 0
22 0.6278 0 0
23 0.657 0 0
24 0.6862 0 0
25 0.7154 0 0
26 0.7446 0 0
27 0.7738 0 0
28 0.803 0 0
29 0.8322 0 0
30 0.8614 0 0
31 0.8906 0 0
32 0.9198 0.0323714 0.002
33 0.949 0.471356 0.033
34 0.9782 1.41678 0.132
35 1.0074 3.30587 0.377
36 1.0366 4.8172 0.755
37 1.0658 5.72624 1.23
38 1.095 5.89318 1.746
39 1.1242 6.03529 2.303
40 1.1534 5.5483 2.842
41 1.1826 4.60208 3.312
42 1.2118 4.07524 3.749
43 1.241 4.17915 4.219
44 1.2702 3.48845 4.63
45 1.2994 3.0739 5.009
46 1.3286 2.88597 5.381
47 1.3578 2.29522 5.69
48 1.387 2.22807 6.003
49 1.4162 2.36247 6.349
50 1.4454 2.07789 6.666
51 1.4746 1.81378 6.954
52 1.5038 1.74403 7.242
53 1.533 1.6083 7.518
54 1.5622 1.45895 7.778
55 1.5914 1.54109 8.063
56 1.6206 1.57991 8.366
57 1.6498 1.57983 8.68
58 1.679 1.56908 9.003
59 1.7082 1.68954 9.363
60 1.7374 1.70582 9.739
61 1.7666 1.7947 10.148
62 1.7958 1.94064 10.605
63 1.825 1.73102 11.026
64 1.8542 1.8721 11.496
65 1.8834 2.00368 12.015
66 1.9126 2.04779 12.562
67 1.9418 2.09199 13.138
68 1.971 2.10097 13.734
69 2.0002 2.23176 14.386
70 2.0294 2.33426 15.088
71 2.0586 2.09724 15.737
72 2.0878 2.34687 16.484
73 2.117 2.15119 17.188
74 2.1462 2.27738 17.954
75 2.1754 2.20219 18.715
76 2.2046 2.23159 19.507
77 2.2338 2.1105 20.276
78 2.263 2.07243 21.051
79 2.2922 2.01476 21.824
80 2.3214 1.8297 22.544
81 2.3506 1.86632 23.297
82 2.3798 1.76519 24.027
83 2.409 1.75569 24.771
84 2.4382 1.68625 25.503
85 2.4674 1.70056 26.259
86 2.4966 1.55116 26.965
87 2.5258 1.45969 27.645
88 2.555 1.50414 28.362
89 2.5842 1.53391 29.11
90 2.6134 1.5299 29.873
91 2.6426 1.44529 30.61
92 2.6718 1.38509 31.332
93 2.701 1.4548 32.107
94 2.7302 1.41098 32.875
95 2.7594 1.47301 33.694
96 2.7886 1.59377 34.599
97 2.8178 1.55574 35.501
98 2.847 1.60678 36.452
99 2.8762 1.61239 37.426
100 2.9054 1.5185 38.362
1500 100
1 0.0146 0 0
2 0.0438 0 0
3 0.073 0 0
4 0.1022 0 0
5 0.1314 0 0
6 0.1606 0 0
7 0.1898 0 0
8 0.219 0 0
9 0.2482 0 0
10 0.2774 0 0
11 0.3066 0 0
12 0.3358 0 0
13 0.365 0 0
14 0.3942 0 0
15 0.4234 0 0
16 0.4526 0 0
17 0.4818 0 0
18 0.511 0 0
19 0.5402 0 0
20 0.5694 0 0
21 0.5986 0 0
22 0.6278 0 0
23 0.657 0 0
24 0.6862 0 0
25 0.7154 0 0
26 0.7446 0 0
27 0.7738 0 0
28 0.803 0 0
29 0.8322 0 0
30 0.8614 0 0
31 0.8906 0 0
32 0.9198 0.0809284 0.005
33 0.949 0.197665 0.018
34 0.9782 1.25936 0.106
35 1.0074 2.56374 0.296
36 1.0366 3.53007 0.573
37 1.0658 4.11083 0.914
38 1.095 4.33994 1.294
39 1.1242 4.25829 1.687
40 1.1534 3.88072 2.064
41 1.1826 3.90687 2.463
42 1.2118 3.48773 2.837
43 1.241 3.23662 3.201
44 1.2702 2.98768 3.553
45 1.2994 2.57915 3.871
46 1.3286 2.21878 4.157
47 1.3578 2.34722 4.473
48 1.387 2.07147 4.764
49 1.4162 1.88451 5.04
50 1.4454 1.73048 5.304
51 1.4746 1.7445 5.581
52 1.5038 1.78642 5.876
53 1.533 1.70736 6.169
54 1.5622 1.60485 6.455
55 1.5914 1.58976 6.749
56 1.6206 1.71548 7.078
57 1.6498 1.46411 7.369
58 1.679 1.62737 7.704
59 1.7082 1.47366 8.018
60 1.7374 1.61054 8.373
61 1.7666 1.60601 8.739
62 1.7958 1.47353 9.086
63 1.825 1.59122 9.473
64 1.8542 1.64506 9.886
65 1.8834 1.55584 10.289
66 1.9126 1.7745 10.763
67 1.9418 1.64526 11.216
68 1.971 1.66738 11.689
69 2.0002 1.94765 12.258
70 2.0294 1.74903 12.784
71 2.0586 1.77086 13.332
72 2.0878 2.12067 14.007
73 2.117 1.93729 14.641
74 2.1462 1.86115 15.267
75 2.1754 1.79127 15.886
76 2.2046 1.94982 16.578
77 2.2338 1.90467 17.272
78 2.263 1.7248 17.917
79 2.2922 1.65507 18.552
80 2.3214 1.78904 19.256
81 2.3506 1.78453 19.976
82 2.3798 1.63945 20.654
83 2.409 1.54567 21.309
84 2.4382 1.67934 22.038
85 2.4674 1.53185 22.719
86 2.4966 1.45668 23.382
87 2.5258 1.52838 24.094
88 2.555 1.55238 24.834
89 2.5842 1.62209 25.625
90 2.6134 1.4898 26.368
91 2.6426 1.47863 27.122
92 2.6718 1.46183 27.884
93 2.701 1.4135 28.637
94 2.7302 1.4165 29.408
95 2.7594 1.46222 30.221
96 2.7886 1.31376 30.967
97 2.8178 1.32289 31.734
98 2.847 1.42262 32.576
99 2.8762 1.37401 33.406
100 2.9054 1.42927 34.287
2000 100
1 0.0146 0 0
2 0.0438 0 0
3 0.073 0 0
4 0.1022 0 0
5 0.1314 0 0
6 0.1606 0 0
7 0.1898 0 0
8 0.219 0 0
9 0.2482 0 0
10 0.2774 0 0
11 0.3066 0 0
12 0.3358 0 0
13 0.365 0 0
14 0.3942 0 0
15 0.4234 0 0
16 0.4526 0 0
17 0.4818 0 0
18 0.511 0 0
19 0.5402 0 0
20 0.5694 0 0
21 0.5986 0 0
22 0.6278 0 0
23 0.657 0 0
24 0.6862 0 0
25 0.7154 0 0
26 0.7446 0 0
27 0.7738 0 0
28 0.803 0 0
29 0.8322 0 0
30 0.8614 0 0
31 0.8906 0 0
32 0.9198 0.0323714 0.002
33 0.949 0.410536 0.029
34 0.9782 0.858653 0.089
35 1.0074 2.07798 0.243
36 1.0366 3.08403 0.485
37 1.0658 3.76123 0.797
38 1.095 4.06584 1.153
39 1.1242 4.01991 1.524
40 1.1534 3.52044 1.866
41 1.1826 3.70125 2.244
42 1.2118 3.3292 2.601
43 1.241 2.85427 2.922
