# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0186731 0.000125
38 0.945 0.159215 0.00125
39 0.9702 0.402806 0.00425
40 0.9954 1.29151 0.014375
41 1.0206 2.29021 0.03325
42 1.0458 2.88897 0.05825
43 1.071 3.92534 0.093875
44 1.0962 4.07562 0.132625
45 1.1214 3.96989 0.172125
46 1.1466 3.77328 0.211375
47 1.1718 3.42865 0.248625
48 1.197 3.25274 0.2855
49 1.2222 3.17287 0.323
50 1.2474 2.79214 0.357375
51 1.2726 3.16066 0.397875
52 1.2978 2.74833 0.4345
53 1.323 2.33775 0.466875
54 1.3482 2.00781 0.49575
55 1.3734 2.1442 0.52775
56 1.3986 2.00301 0.55875
57 1.4238 1.88598 0.589
58 1.449 2.02412 0.622625
59 1.4742 1.94097 0.656
60 1.4994 1.66546 0.685625
61 1.5246 1.57688 0.714625
62 1.5498 1.59179 0.744875
63 1.575 1.44573 0.77325
64 1.6002 1.61033 0.805875
65 1.6254 1.4352 0.835875
66 1.6506 1.40331 0.866125
67 1.6758 1.51895 0.899875
68 1.701 1.47427 0.933625
69 1.7262 1.24067 0.962875
70 1.7514 1.43185 0.997625
71 1.7766 1.3765 1.032
72 1.8018 1.20201 1.06288
73 1.827 1.26374 1.09625
74 1.8522 1.44603 1.1355
75 1.8774 1.34024 1.17287
76 1.9026 1.23078 1.20813
77 1.9278 1.25407 1.245
78 1.953 1.32547 1.285
79 1.9782 1.2031 1.32225
80 2.0034 1.23994 1.36162
81 2.0286 1.2362 1.40187
82 2.0538 1.21729 1.4425
83 2.079 1.25009 1.48525
84 2.1042 1.17751 1.5265
85 2.1294 1.07315 1.565
86 2.1546 1.07542 1.6045
87 2.1798 1.11055 1.64625
88 2.205 1.06582 1.68725
89 2.2302 1.18798 1.734
90 2.2554 1.04667 1.77612
91 2.2806 1.03278 1.81862
92 2.3058 0.965755 1.85925
93 2.331 1.09909 1.9065
94 2.3562 0.961877 1.94875
95 2.3814 0.955557 1.99162
96 2.4066 0.938378 2.03462
97 2.4318 1.03391 2.083
98 2.457 0.884573 2.12525
99 2.4822 0.87696 2.168
100 2.5074 0.944861 2.215
1500 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0186731 0.000125
38 0.945 0.106143 0.000875
39 0.9702 0.453156 0.00425
40 0.9954 0.892896 0.01125
41 1.0206 1.47119 0.023375
42 1.0458 2.28229 0.043125
43 1.071 2.89235 0.069375
44 1.0962 2.51111 0.09325
45 1.1214 2.60053 0.119125
46 1.1466 2.87202 0.149
47 1.1718 2.83037 0.17975
48 1.197 2.71245 0.2105
49 1.2222 2.60175 0.24125
50 1.2474 2.28448 0.269375
51 1.2726 2.26319 0.298375
52 1.2978 2.1574 0.327125
53 1.323 2.08502 0.356
54 1.3482 1.86874 0.382875
55 1.3734 1.6584 0.407625
56 1.3986 1.60726 0.4325
57 1.4238 1.61321 0.458375
58 1.449 1.56512 0.484375
59 1.4742 1.54115 0.510875
60 1.4994 1.50383 0.537625
61 1.5246 1.2982 0.5615
62 1.5498 1.34842 0.587125
63 1.575 1.33109 0.61325
64 1.6002 1.37587 0.641125
65 1.6254 1.27972 0.667875
66 1.6506 1.33373 0.696625
67 1.6758 1.24329 0.72425
68 1.701 1.31047 0.75425
69 1.7262 1.3043 0.785
70 1.7514 1.19493 0.814
71 1.7766 1.14125 0.8425
72 1.8018 1.41127 0.87875
73 1.827 1.25901 0.912
74 1.8522 1.39538 0.949875
75 1.8774 1.26852 0.98525
76 1.9026 1.42281 1.026
77 1.9278 1.1563 1.06
78 1.953 1.20121 1.09625
79 1.9782 1.19099 1.13313
80 2.0034 1.08249 1.1675
81 2.0286 1.1287 1.20425
82 2.0538 1.15361 1.24275
83 2.079 1.24278 1.28525
84 2.1042 1.18108 1.32662
85 2.1294 1.10451 1.36625
86 2.1546 1.16051 1.40888
87 2.1798 1.19368 1.45375
88 2.205 1.05607 1.49438
89 2.2302 1.00375 1.53387
90 2.2554 1.17401 1.58113
91 2.2806 1.03582 1.62375
92 2.3058 1.0965 1.66987
93 2.331 1.10491 1.71738
94 2.3562 0.97326 1.76012
95 2.3814 1.08371 1.80875
96 2.4066 1.03931 1.85637
97 2.4318 1.06063 1.906
98 2.457 1.06253 1.95675
99 2.4822 1.1462 2.01262
100 2.5074 1.02025 2.06337
2000 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0 0
38 0.945 0.0884528 0.000625
39 0.9702 0.318888 0.003
40 0.9954 1.00451 0.010875
41 1.0206 1.48636 0.023125
42 1.0458 2.3834 0.04375
43 1.071 2.5618 0.067
44 1.0962 2.65573 0.09225
45 1.1214 2.62566 0.118375
46 1.1466 3.00421 0.149625
47 1.1718 2.66929 0.178625
48 1.197 2.33756 0.205125
49 1.2222 1.99891 0.22875
50 1.2474 2.10172 0.254625
51 1.2726 2.29246 0.284
52 1.2978 2.09174 0.311875
53 1.323 1.96768 0.339125
54 1.3482 1.58191 0.361875
55 1.3734 1.53277 0.38475
56 1.3986 1.63149 0.41
57 1.4238 1.50411 0.434125
58 1.449 1.52749 0.4595
59 1.4742 1.30852 0.482
60 1.4994 1.25085 0.50425
61 1.5246 1.17586 0.525875
62 1.5498 1.21686 0.549
63 1.575 1.15913 0.57175
64 1.6002 1.12908 0.594625
65 1.6254 1.08836 0.617375
66 1.6506 1.20035 0.64325
67 1.6758 1.26579 0.671375
68 1.701 1.29409 0.701
69 1.7262 1.20356 0.729375
70 1.7514 1.12282 0.756625
71 1.7766 1.18129 0.786125
72 1.8018 1.15821 0.815875
73 1.827 1.11228 0.84525
74 1.8522 1.08222 0.874625
75 1.8774 1.13405 0.90625
76 1.9026 1.10857 0.938
77 1.9278 1.16905 0.972375
78 1.953 1.11008 1.00588
79 1.9782 1.19099 1.04275
80 2.0034 1.20451 1.081
81 2.0286 1.217 1.12062
82 2.0538 1.1199 1.158
83 2.079 1.14775 1.19725
84 2.1042 1.1561 1.23775
85 2.1294 1.16026 1.27937
86 2.1546 1.21155 1.32388
87 2.1798 1.16043 1.3675
88 2.205 1.06907 1.40863
89 2.2302 1.12763 1.453
90 2.2554 1.17711 1.50038
91 2.2806 1.02974 1.54275
92 2.3058 1.07867 1.58813
93 2.331 1.09328 1.63513
94 2.3562 1.10417 1.68362
95 2.3814 1.18121 1.73663
96 2.4066 0.908372 1.77825
97 2.4318 1.07131 1.82838
98 2.457 1.07562 1.87975
99 2.4822 0.961579 1.92663
100 2.5074 1.03533 1.97812
2500 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0.0186731 0.000125
