# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0575392 0.0005
29 0.9462 0.401795 0.00425
30 0.9794 1.71259 0.021375
31 1.0126 4.01119 0.06425
32 1.0458 6.13971 0.13425
33 1.079 7.69373 0.227625
34 1.1122 7.37701 0.32275
35 1.1454 7.37602 0.423625
36 1.1786 7.4325 0.53125
37 1.2118 6.14893 0.625375
38 1.245 5.80991 0.71925
39 1.2782 5.65148 0.8155
40 1.3114 4.5183 0.8965
41 1.3446 3.75406 0.96725
42 1.3778 3.76484 1.04175
43 1.411 3.48135 1.114
44 1.4442 3.36338 1.18713
45 1.4774 2.93373 1.25388
46 1.5106 2.59074 1.3155
47 1.5438 2.4151 1.3755
48 1.577 2.37717 1.43712
49 1.6102 2.29866 1.49925
50 1.6434 2.13125 1.55925
51 1.6766 2.11593 1.62125
52 1.7098 1.99354 1.682
53 1.743 2.14331 1.74988
54 1.7762 2.07534 1.81813
55 1.8094 2.24895 1.89488
56 1.8426 1.98498 1.96513
57 1.8758 1.86081 2.03338
58 1.909 1.89208 2.10525
59 1.9422 1.9106 2.18038
60 1.9754 1.90223 2.25775
61 2.0086 1.86365 2.33613
62 2.0418 1.78628 2.41375
63 2.075 1.7073 2.49038
64 2.1082 1.45968 2.558
65 2.1414 1.40693 2.62525
66 2.1746 1.45052 2.69675
67 2.2078 1.44166 2.77
68 2.241 1.35867 2.84113
69 2.2742 1.31002 2.91175
70 2.3074 1.31989 2.985
71 2.3406 1.21705 3.0545
72 2.3738 1.09599 3.11888
73 2.407 1.07838 3.184
74 2.4402 1.07743 3.25087
75 2.4734 1.04086 3.31725
76 2.5066 0.904681 3.3765
77 2.5398 1.02061 3.44512
78 2.573 0.979953 3.51275
79 2.6062 0.916304 3.57763
80 2.6394 0.881348 3.64162
81 2.6726 0.854551 3.70525
82 2.7058 0.80095 3.76638
83 2.739 0.812022 3.82988
84 2.7722 0.851985 3.89813
85 2.8054 0.810607 3.96462
86 2.8386 0.760503 4.0285
87 2.8718 0.729935 4.09125
88 2.905 0.76166 4.15825
89 2.9382 0.69176 4.2205
90 2.9714 0.729359 4.28763
91 3.0046 0.758494 4.359
92 3.0378 0.735508 4.42975
93 3.071 0.662472 4.49487
94 3.1042 0.75167 4.57038
95 3.1374 0.729754 4.64525
96 3.1706 0.737217 4.7225
97 3.2038 0.72669 4.80025
98 3.237 0.75535 4.88275
99 3.2702 0.716543 4.96263
100 3.3034 0.759356 5.049
1500 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0287696 0.00025
29 0.9462 0.334829 0.003375
30 0.9794 0.962548 0.013
31 1.0126 2.26872 0.03725
32 1.0458 4.07852 0.08375
33 1.079 4.2743 0.135625
34 1.1122 4.54641 0.19425
35 1.1454 4.78025 0.259625
36 1.1786 4.49748 0.32475
37 1.2118 4.08295 0.38725
38 1.245 3.78301 0.448375
39 1.2782 3.44961 0.507125
40 1.3114 3.15165 0.563625
41 1.3446 2.73927 0.61525
42 1.3778 2.62781 0.66725
43 1.411 2.75255 0.724375
44 1.4442 2.42623 0.777125
45 1.4774 2.22502 0.82775
46 1.5106 2.23865 0.881
47 1.5438 2.00252 0.93075
48 1.577 1.9191 0.9805
49 1.6102 1.94253 1.033
50 1.6434 1.705 1.081
51 1.6766 1.64667 1.12925
52 1.7098 1.57514 1.17725
53 1.743 1.87096 1.2365
54 1.7762 1.81688 1.29625
55 1.8094 1.7325 1.35538
56 1.8426 1.88608 1.42212
57 1.8758 1.7722 1.48713
