# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0186 0 0
2 0.0558 0 0
3 0.093 0 0
4 0.1302 0 0
5 0.1674 0 0
6 0.2046 0 0
7 0.2418 0 0
8 0.279 0 0
9 0.3162 0 0
10 0.3534 0 0
11 0.3906 0 0
12 0.4278 0 0
13 0.465 0 0
14 0.5022 0 0
15 0.5394 0 0
16 0.5766 0 0
17 0.6138 0 0
18 0.651 0 0
19 0.6882 0 0
20 0.7254 0 0
21 0.7626 0 0
22 0.7998 0 0
23 0.837 0 0
24 0.8742 0 0
25 0.9114 0.0258789 0.002
26 0.9486 0.513619 0.045
27 0.9858 2.01297 0.227
28 1.023 4.35473 0.651
29 1.0602 5.84272 1.262
30 1.0974 6.41729 1.981
31 1.1346 6.00342 2.7
32 1.1718 5.4796 3.4
33 1.209 4.37547 3.995
34 1.2462 3.66136 4.524
35 1.2834 3.26947 5.025
36 1.3206 3.03241 5.517
37 1.3578 2.5537 5.955
38 1.395 2.40275 6.39
39 1.4322 2.13807 6.798
40 1.4694 1.87188 7.174
41 1.5066 1.7285 7.539
42 1.5438 1.88524 7.957
43 1.581 1.68576 8.349
44 1.6182 1.63378 8.747
45 1.6554 1.67493 9.174
46 1.6926 1.82725 9.661
47 1.7298 1.62736 10.114
48 1.767 1.90728 10.668
49 1.8042 1.81293 11.217
50 1.8414 1.96868 11.838
51 1.8786 1.96763 12.484
52 1.9158 2.02668 13.176
53 1.953 2.20104 13.957
54 1.9902 2.2118 14.772
55 2.0274 2.42951 15.701
56 2.0646 2.48397 16.686
57 2.1018 2.36519 17.658
58 2.139 2.31653 18.644
59 2.1762 2.41279 19.707
60 2.2134 2.27752 20.745
61 2.2506 2.11796 21.743
62 2.2878 2.0517 22.742
63 2.325 2.08003 23.788
64 2.3622 1.93798 24.794
65 2.3994 1.74392 25.728
66 2.4366 1.78523 26.714
67 2.4738 1.75478 27.713
68 2.511 1.61793 28.662
69 2.5482 1.6207 29.641
70 2.5854 1.62264 30.65
71 2.6226 1.63164 31.694
72 2.6598 1.54225 32.709
73 2.697 1.49409 33.72
74 2.7342 1.5673 34.81
75 2.7714 1.59829 35.952
76 2.8086 1.65162 37.164
77 2.8458 1.61536 38.381
78 2.883 1.6024 39.62
79 2.9202 1.57066 40.866
80 2.9574 1.5953 42.164
81 2.9946 1.61465 43.511
82 3.0318 1.59398 44.874
83 3.069 1.64003 46.311
84 3.1062 1.61101 47.757
85 3.1434 1.48281 49.12
86 3.1806 1.47171 50.505
87 3.2178 1.49394 51.944
88 3.255 1.41839 53.342
89 3.2922 1.47082 54.825
90 3.3294 1.43037 56.3
91 3.3666 1.43119 57.809
92 3.4038 1.28688 59.196
93 3.441 1.38086 60.717
94 3.4782 1.2644 62.14
95 3.5154 1.23344 63.558
96 3.5526 1.30824 65.094
97 3.5898 1.23122 66.57
98 3.627 1.23224 68.078
99 3.6642 1.19454 69.57
100 3.7014 1.20988 71.112
1500 100
1 0.0186 0 0
2 0.0558 0 0
3 0.093 0 0
4 0.1302 0 0
5 0.1674 0 0
6 0.2046 0 0
7 0.2418 0 0
8 0.279 0 0
9 0.3162 0 0
10 0.3534 0 0
11 0.3906 0 0
12 0.4278 0 0
13 0.465 0 0
14 0.5022 0 0
15 0.5394 0 0
16 0.5766 0 0
17 0.6138 0 0
18 0.651 0 0
19 0.6882 0 0
20 0.7254 0 0
21 0.7626 0 0
22 0.7998 0 0
23 0.837 0 0
24 0.8742 0 0
25 0.9114 0 0
26 0.9486 0.418062 0.035
27 0.9858 1.5595 0.176
28 1.023 3.28659 0.496
29 1.0602 4.14059 0.929
30 1.0974 5.06957 1.497
31 1.1346 4.73427 2.064
32 1.1718 4.54807 2.645
33 1.209 3.87541 3.172
34 1.2462 3.27377 3.645
35 1.2834 2.95623 4.098
36 1.3206 2.73657 4.542
37 1.3578 2.56536 4.982
38 1.395 2.17629 5.376
39 1.4322 2.07519 5.772
40 1.4694 1.83206 6.14
41 1.5066 1.83742 6.528
42 1.5438 1.74543 6.915
43 1.581 1.72877 7.317
44 1.6182 1.58042 7.702
45 1.6554 1.63571 8.119
46 1.6926 1.5646 8.536
47 1.7298 1.59503 8.98
48 1.767 1.74203 9.486
49 1.8042 1.58178 9.965
50 1.8414 1.61362 10.474
51 1.8786 1.86407 11.086
52 1.9158 1.72795 11.676
53 1.953 1.86285 12.337
54 1.9902 1.96212 13.06
55 2.0274 2.08954 13.859
56 2.0646 2.08805 14.687
57 2.1018 2.00749 15.512
58 2.139 2.04165 16.381
59 2.1762 1.96564 17.247
60 2.2134 2.07127 18.191
61 2.2506 1.83571 19.056
62 2.2878 1.98803 20.024
63 2.325 1.90504 20.982
64 2.3622 1.89175 21.964
65 2.3994 1.7962 22.926
66 2.4366 1.60598 23.813
67 2.4738 1.63533 24.744
68 2.511 1.61793 25.693
69 2.5482 1.49157 26.594
70 2.5854 1.56796 27.569
71 2.6226 1.51755 28.54
72 2.6598 1.55745 29.565
73 2.697 1.52217 30.595
74 2.7342 1.52992 31.659
75 2.7714 1.52271 32.747
76 2.8086 1.49218 33.842
77 2.8458 1.46803 34.948
78 2.883 1.41746 36.044
79 2.9202 1.49502 37.23
80 2.9574 1.53016 38.475
81 2.9946 1.50677 39.732
82 3.0318 1.43143 40.956
83 3.069 1.51106 42.28
84 3.1062 1.48957 43.617
85 3.1434 1.48172 44.979
86 3.1806 1.45895 46.352
87 3.2178 1.44618 47.745
88 3.255 1.44071 49.165
89 3.2922 1.38354 50.56
90 3.3294 1.33922 51.941
91 3.3666 1.36385 53.379
92 3.4038 1.34162 54.825
93 3.441 1.33184 56.292
94 3.4782 1.30883 57.765
95 3.5154 1.27867 59.235
96 3.5526 1.26055 60.715
97 3.5898 1.27376 62.242
98 3.627 1.15707 63.658
99 3.6642 1.2698 65.244
100 3.7014 1.14476 66.703
2000 100
1 0.0186 0 0
2 0.0558 0 0
3 0.093 0 0
4 0.1302 0 0
5 0.1674 0 0
6 0.2046 0 0
7 0.2418 0 0
8 0.279 0 0
9 0.3162 0 0
10 0.3534 0 0
11 0.3906 0 0
12 0.4278 0 0
13 0.465 0 0
14 0.5022 0 0
15 0.5394 0 0
16 0.5766 0 0
