# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
58 0.874 0 0
59 0.8892 0 0
60 0.9044 0 0
61 0.9196 0 0
62 0.9348 0.0903166 0.003
63 0.95 0.1166 0.007
64 0.9652 0.451825 0.023
65 0.9804 0.520034 0.042
66 0.9956 1.06164 0.082
67 1.0108 1.57067 0.143
68 1.026 1.72441 0.212
69 1.0412 2.69365 0.323
70 1.0564 2.4281 0.426
71 1.0716 3.047 0.559
72 1.0868 2.851 0.687
73 1.102 3.20616 0.835
74 1.1172 3.26706 0.99
75 1.1324 3.34407 1.153
76 1.1476 3.15619 1.311
77 1.1628 3.0353 1.467
78 1.178 2.65415 1.607
79 1.1932 2.66087 1.751
80 1.2084 2.19799 1.873
81 1.2236 2.47758 2.014
82 1.2388 2.36573 2.152
83 1.254 2.27527 2.288
84 1.2692 1.91079 2.405
85 1.2844 2.12099 2.538
86 1.2996 2.08725 2.672
87 1.3148 1.87186 2.795
88 1.33 1.88881 2.922
89 1.3452 1.4393 3.021
90 1.3604 1.70583 3.141
91 1.3756 1.47371 3.247
92 1.3908 1.44167 3.353
93 1.406 1.55706 3.47
94 1.4212 1.563 3.59
95 1.4364 1.23683 3.687
96 1.4516 1.41083 3.8
97 1.4668 1.3206 3.908
98 1.482 1.25772 4.013
99 1.4972 1.15015 4.111
100 1.5124 1.27667 4.222
1500 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
58 0.874 0 0
59 0.8892 0 0
60 0.9044 0 0
61 0.9196 0 0
62 0.9348 0 0
63 0.95 0.0582998 0.002
64 0.9652 0.310629 0.013
65 0.9804 0.602145 0.035
66 0.9956 0.928931 0.07
67 1.0108 1.0557 0.111
68 1.026 1.54947 0.173
69 1.0412 1.89283 0.251
70 1.0564 2.09807 0.34
71 1.0716 2.35971 0.443
72 1.0868 2.58372 0.559
73 1.102 2.77289 0.687
74 1.1172 2.61365 0.811
75 1.1324 2.83117 0.949
76 1.1476 2.49699 1.074
77 1.1628 2.50996 1.203
78 1.178 2.3129 1.325
79 1.1932 2.42065 1.456
80 1.2084 2.30609 1.584
81 1.2236 2.31944 1.716
82 1.2388 1.85144 1.824
83 1.254 1.80683 1.932
84 1.2692 1.64949 2.033
85 1.2844 1.59473 2.133
86 1.2996 1.46419 2.227
87 1.3148 1.65881 2.336
88 1.33 1.26417 2.421
89 1.3452 1.54107 2.527
90 1.3604 1.46417 2.63
91 1.3756 1.48761 2.737
92 1.3908 1.21046 2.826
93 1.406 1.54375 2.942
94 1.4212 1.10713 3.027
95 1.4364 1.4536 3.141
96 1.4516 1.14864 3.233
97 1.4668 1.13718 3.326
98 1.482 1.19782 3.426
99 1.4972 1.13842 3.523
100 1.5124 1.20766 3.628
2000 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
58 0.874 0 0
59 0.8892 0 0
60 0.9044 0 0
61 0.9196 0 0
62 0.9348 0.0602111 0.002
63 0.95 0.145749 0.007
64 0.9652 0.310629 0.018
65 0.9804 0.547404 0.038
66 0.9956 0.716604 0.065
67 1.0108 1.10719 0.108
68 1.026 1.57446 0.171
69 1.0412 1.55309 0.235
70 1.0564 2.09807 0.324
71 1.0716 1.71823 0.399
72 1.0868 2.45008 0.509
73 1.102 2.46961 0.623
74 1.1172 2.2764 0.731
75 1.1324 2.42086 0.849
76 1.1476 2.09747 0.954
77 1.1628 2.00408 1.057
78 1.178 1.99061 1.162
79 1.1932 2.23587 1.283
80 1.2084 1.99981 1.394
81 1.2236 1.89772 1.502
82 1.2388 1.92001 1.614
83 1.254 1.7901 1.721
84 1.2692 1.87813 1.836
85 1.2844 1.56284 1.934
86 1.2996 1.44861 2.027
87 1.3148 1.44575 2.122
88 1.33 1.36827 2.214
89 1.3452 1.33753 2.306
90 1.3604 1.43574 2.407
91 1.3756 1.40419 2.508
92 1.3908 1.18326 2.595
93 1.406 1.05135 2.674
94 1.4212 1.27645 2.772
95 1.4364 1.35159 2.878
96 1.4516 1.3484 2.986
97 1.4668 1.1861 3.083
98 1.482 1.24574 3.187
99 1.4972 1.24404 3.293
100 1.5124 0.977632 3.378
2500 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
