Step          Temp          PotEng         KinEng         TotEng         Press     
      1210   2.1365612     -1.3076146      3.1888175      1.881203       0.45332686   
      1220   2.1586691     -1.3669335      3.2218136      1.8548801      0.38398635   
      1230   2.1082393     -1.322355       3.1465472      1.8241922      0.38538196   
      1240   2.1093902     -1.3582714      3.1482649      1.7899935      0.30506894   
      1250   2.1132154     -1.4011598      3.153974       1.7528142      0.23033586   
      1260   2.0709744     -1.377942       3.0909292      1.7129872      0.24294473   
      1270   2.0352318     -1.3663647      3.0375834      1.6712187      0.26684223   
      1280   2.0212794     -1.3870846      3.0167595      1.6296749      0.26016379   
      1290   1.9434306     -1.3112444      2.9005701      1.5893257      0.33753256   
      1300   1.9480093     -1.3566495      2.9074039      1.5507544      0.30387123   
      1310   1.8822945     -1.2939611      2.8093245      1.5153634      0.35016103   
      1320   1.8984012     -1.3499678      2.8333638      1.483396       0.28516124   
      1330   1.9202674     -1.4118017      2.865999       1.4541973      0.23181148   
      1340   1.8208369     -1.2901087      2.7175991      1.4274903      0.36165813   
      1350   1.8900379     -1.4149898      2.8208816      1.4058918      0.25623313   
      1360   1.7881605     -1.2795233      2.6688296      1.3893063      0.36631349   
      1370   1.83521       -1.3625146      2.739051       1.3765363      0.27989969   
      1380   1.8212266     -1.3491         2.7181808      1.3690808      0.28190069   
      1390   1.8291221     -1.3635051      2.7299647      1.3664596      0.26454606   
      1400   1.9080644     -1.4796928      2.847786       1.3680932      0.17495601   
      1410   1.8418254     -1.3758893      2.7489245      1.3730351      0.32095294   
      1420   1.8436907     -1.3706216      2.7517084      1.3810868      0.38017259   
      1430   1.809653      -1.3063747      2.7009071      1.3945324      0.45157321   
      1440   1.8636067     -1.3683416      2.781433       1.4130915      0.38751858   
      1450   1.9030475     -1.4041269      2.8402983      1.4361715      0.33679128   
      1460   1.9280039     -1.4156452      2.8775458      1.4619006      0.32062597   
      1470   1.946412      -1.4151398      2.9050199      1.4898801      0.31023913   
      1480   1.9856448     -1.443797       2.9635749      1.5197778      0.27631662   
      1490   1.9458116     -1.3542053      2.9041238      1.5499185      0.37631019   
      1500   1.9964779     -1.3973004      2.9797433      1.5824429      0.36469485   
      1510   2.0202699     -1.4005281      3.0152528      1.6147247      0.37804105   
      1520   2.0180732     -1.3648423      3.0119743      1.6471319      0.39806481   
      1530   2.0212077     -1.3363568      3.0166524      1.6802957      0.3924365    
      1540   2.0891453     -1.406278       3.1180494      1.7117714      0.29251706   
      1550   2.0898036     -1.3772979      3.1190319      1.7417339      0.29172645   
      1560   2.0942958     -1.3567403      3.1257364      1.7689961      0.29955043   
      1570   2.1145345     -1.3625568      3.1559427      1.7933859      0.30241492   
      1580   2.0954835     -1.3133001      3.1275092      1.814209       0.36252426   
      1590   2.1164932     -1.3273769      3.1588661      1.8314892      0.35165483   
      1600   2.1045313     -1.2949248      3.141013       1.8460882      0.36979528   
      1610   2.1430928     -1.3420862      3.198566       1.8564798      0.31544416   
      1620   2.1367527     -1.3257831      3.1891034      1.8633203      0.31358828   
      1630   2.1448044     -1.3350783      3.2011206      1.8660423      0.30570466   
      1640   2.0808643     -1.2412437      3.1056899      1.8644462      0.41445979   
      1650   2.1311444     -1.3215898      3.1807331      1.8591432      0.36293401   
      1660   2.1259101     -1.3228568      3.1729208      1.8500639      0.37534085   
      1670   2.1433634     -1.3624589      3.1989699      1.836511       0.36286607   
      1680   2.088666      -1.29872        3.117334       1.8186139      0.43742571   
      1690   2.0758179     -1.3007229      3.0981583      1.7974354      0.45689938   
      1700   2.0491107     -1.2825177      3.0582977      1.7757799      0.45403922   
      1710   2.0718198     -1.3402466      3.092191       1.7519444      0.35248124   
      1720   2.0023641     -1.2617996      2.9885285      1.7267289      0.38614311   
      1730   1.9826621     -1.2570462      2.9591233      1.7020771      0.36479666   
      1740   1.9666588     -1.257733       2.9352383      1.6775053      0.34307438   
      1750   1.9669367     -1.2822278      2.935653       1.6534251      0.30077632   
      1760   1.9526137     -1.2828341      2.9142759      1.6314419      0.28157571   
      1770   1.9515494     -1.3018617      2.9126874      1.6108257      0.25830183   
      1780   1.9269793     -1.2841941      2.8760166      1.5918225      0.28137566   
