# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0144481 0.001
29 0.9462 0.430466 0.033
30 0.9794 1.25556 0.133
31 1.0126 3.12439 0.399
32 1.0458 4.18455 0.779
33 1.079 4.97585 1.26
34 1.1122 5.03375 1.777
35 1.1454 4.96651 2.318
36 1.1786 4.18779 2.801
37 1.2118 3.70722 3.253
38 1.245 2.99931 3.639
39 1.2782 2.77182 4.015
40 1.3114 2.74531 4.407
41 1.3446 2.28499 4.75
42 1.3778 2.01124 5.067
43 1.411 2.05081 5.406
44 1.4442 1.96915 5.747
45 1.4774 1.83751 6.08
46 1.5106 1.76291 6.414
47 1.5438 1.67274 6.745
48 1.577 1.59821 7.075
49 1.6102 1.69557 7.44
50 1.6434 1.49843 7.776
51 1.6766 1.45682 8.116
52 1.7098 1.64387 8.515
53 1.743 1.66114 8.934
54 1.7762 1.69124 9.377
55 1.8094 1.73644 9.849
56 1.8426 1.80924 10.359
57 1.8758 1.72522 10.863
58 1.909 1.8376 11.419
59 1.9422 1.86791 12.004
60 1.9754 2.05875 12.671
61 2.0086 2.0241 13.349
62 2.0418 1.95881 14.027
63 2.075 2.02811 14.752
64 2.1082 2.02978 15.501
65 2.1414 1.92793 16.235
66 2.1746 1.88734 16.976
67 2.2078 1.8656 17.731
68 2.241 1.74598 18.459
69 2.2742 1.74894 19.21
70 2.3074 1.88674 20.044
71 2.3406 1.8182 20.871
72 2.3738 1.62022 21.629
73 2.407 1.60493 22.401
74 2.4402 1.58988 23.187
75 2.4734 1.61442 24.007
76 2.5066 1.55852 24.82
77 2.5398 1.61887 25.687
78 2.573 1.57737 26.554
79 2.6062 1.45586 27.375
80 2.6394 1.55433 28.274
81 2.6726 1.46705 29.144
82 2.7058 1.53491 30.077
83 2.739 1.50756 31.016
84 2.7722 1.44346 31.937
85 2.8054 1.44929 32.884
86 2.8386 1.39914 33.82
87 2.8718 1.49696 34.845
88 2.905 1.51575 35.907
89 2.9382 1.4496 36.946
90 2.9714 1.48696 38.036
91 3.0046 1.45962 39.13
92 3.0378 1.40178 40.204
93 3.071 1.37419 41.28
94 3.1042 1.38245 42.386
95 3.1374 1.30685 43.454
96 3.1706 1.33354 44.567
97 3.2038 1.33069 45.701
98 3.237 1.29894 46.831
99 3.2702 1.38307 48.059
100 3.3034 1.2638 49.204
2500 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0433442 0.003
29 0.9462 0.309397 0.026
30 0.9794 1.243 0.125
31 1.0126 2.65456 0.351
32 1.0458 3.4908 0.668
33 1.079 3.98275 1.053
34 1.1122 4.38141 1.503
35 1.1454 4.06685 1.946
36 1.1786 3.73693 2.377
37 1.2118 3.40375 2.792
38 1.245 2.99931 3.178
39 1.2782 2.91188 3.573
40 1.3114 2.54922 3.937
41 1.3446 2.33163 4.287
42 1.3778 2.18889 4.632
43 1.411 2.09315 4.978
44 1.4442 1.83634 5.296
45 1.4774 1.5285 5.573
46 1.5106 1.63095 5.882
47 1.5438 1.53124 6.185
48 1.577 1.4287 6.48
49 1.6102 1.5655 6.817
50 1.6434 1.60992 7.178
51 1.6766 1.43968 7.514
52 1.7098 1.47495 7.872
53 1.743 1.45894 8.24
54 1.7762 1.52708 8.64
55 1.8094 1.65182 9.089
56 1.8426 1.66734 9.559
57 1.8758 1.66703 10.046
58 1.909 1.73514 10.571
59 1.9422 1.69549 11.102
60 1.9754 1.76861 11.675
61 2.0086 1.9017 12.312
62 2.0418 1.70168 12.901
63 2.075 1.89943 13.58
64 2.1082 1.81298 14.249
65 2.1414 1.79922 14.934
66 2.1746 1.75744 15.624
67 2.2078 1.88537 16.387
68 2.241 1.81553 17.144
69 2.2742 1.74195 17.892
70 2.3074 1.60622 18.602
71 2.3406 1.72367 19.386
72 2.3738 1.73564 20.198
73 2.407 1.58622 20.961
74 2.4402 1.56763 21.736
75 2.4734 1.60655 22.552
76 2.5066 1.58344 23.378
77 2.5398 1.43028 24.144
78 2.573 1.44455 24.938
79 2.6062 1.37961 25.716
80 2.6394 1.45405 26.557
81 2.6726 1.36925 27.369
82 2.7058 1.44937 28.25
83 2.739 1.44816 29.152
84 2.7722 1.36666 30.024
85 2.8054 1.36052 30.913
86 2.8386 1.45295 31.885
87 2.8718 1.35822 32.815
88 2.905 1.35304 33.763
89 2.9382 1.47331 34.819
90 2.9714 1.2646 35.746
91 3.0046 1.37956 36.78
92 3.0378 1.36393 37.825
93 3.071 1.32694 38.864
94 3.1042 1.29996 39.904
95 3.1374 1.30318 40.969
96 3.1706 1.32516 42.075
97 3.2038 1.34008 43.217
98 3.237 1.31273 44.359
99 3.2702 1.27382 45.49
100 3.3034 1.28146 46.651
3000 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0 0
29 0.9462 0.309397 0.023
30 0.9794 1.19278 0.118
31 1.0126 2.27869 0.312
32 1.0458 3.33663 0.615
33 1.079 4.10688 1.012
34 1.1122 4.13799 1.437
35 1.1454 3.92914 1.865
36 1.1786 4.03172 2.33
37 1.2118 3.35454 2.739
38 1.245 2.79729 3.099
39 1.2782 2.55803 3.446
40 1.3114 2.31811 3.777
41 1.3446 2.16508 4.102
42 1.3778 2.09372 4.432
43 1.411 1.79067 4.728
44 1.4442 1.72662 5.027
45 1.4774 1.79888 5.353
46 1.5106 1.6204 5.66
47 1.5438 1.61715 5.98
48 1.577 1.53041 6.296
49 1.6102 1.36575 6.59
50 1.6434 1.49843 6.926
51 1.6766 1.37969 7.248
52 1.7098 1.43375 7.596
53 1.743 1.62942 8.007
54 1.7762 1.46982 8.392
55 1.8094 1.44949 8.786
56 1.8426 1.54317 9.221
57 1.8758 1.57118 9.68
58 1.909 1.60294 10.165
59 1.9422 1.77851 10.722
60 1.9754 1.65441 11.258
61 2.0086 1.69272 11.825
62 2.0418 1.77391 12.439
63 2.075 1.72879 13.057
64 2.1082 1.66122 13.67
65 2.1414 1.62849 14.29
66 2.1746 1.78291 14.99
67 2.2078 1.68275 15.671
68 2.241 1.64765 16.358
69 2.2742 1.73496 17.103
70 2.3074 1.67408 17.843
71 2.3406 1.65551 18.596
72 2.3738 1.477 19.287
73 2.407 1.5197 20.018
74 2.4402 1.53729 20.778
75 2.4734 1.45101 21.515
76 2.5066 1.47034 22.282
77 2.5398 1.4863 23.078
78 2.573 1.33721 23.813
79 2.6062 1.43458 24.622
80 2.6394 1.46961 25.472
81 2.6726 1.29505 26.24
82 2.7058 1.40988 27.097
83 2.739 1.4032 27.971
84 2.7722 1.32435 28.816
85 2.8054 1.32532 29.682
86 2.8386 1.36476 30.595
87 2.8718 1.3699 31.533
88 2.905 1.39586 32.511
89 2.9382 1.27101 33.422
90 2.9714 1.29188 34.369
91 3.0046 1.22213 35.285
92 3.0378 1.31564 36.293
93 3.071 1.29884 37.31
94 3.1042 1.27246 38.328
95 3.1374 1.33132 39.416
96 3.1706 1.26285 40.47
97 3.2038 1.24034 41.527
98 3.237 1.25756 42.621
99 3.2702 1.25242 43.733
100 3.3034 1.2053 44.825
3500 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0288961 0.002
29 0.9462 0.242137 0.02
30 0.9794 1.02956 0.102
31 1.0126 2.23171 0.292
32 1.0458 3.1274 0.576
33 1.079 3.92068 0.955
34 1.1122 4.05037 1.371
35 1.1454 4.05767 1.813
36 1.1786 3.18202 2.18
37 1.2118 3.10849 2.559
38 1.245 2.92161 2.935
39 1.2782 2.52855 3.278
40 1.3114 2.087 3.576
