# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1500 100
1 0.0196 0 0
2 0.0588 0 0
3 0.098 0 0
4 0.1372 0 0
5 0.1764 0 0
6 0.2156 0 0
7 0.2548 0 0
8 0.294 0 0
9 0.3332 0 0
10 0.3724 0 0
11 0.4116 0 0
12 0.4508 0 0
13 0.49 0 0
14 0.5292 0 0
15 0.5684 0 0
16 0.6076 0 0
17 0.6468 0 0
18 0.686 0 0
19 0.7252 0 0
20 0.7644 0 0
21 0.8036 0 0
22 0.8428 0 0
23 0.882 0 0
24 0.9212 0.1077 0.001125
25 0.9604 0.891797 0.01125
26 0.9996 2.64247 0.04375
27 1.0388 4.99718 0.110125
28 1.078 6.42314 0.202
29 1.1172 7.29033 0.314
30 1.1564 6.81968 0.42625
31 1.1956 6.1312 0.534125
32 1.2348 5.70151 0.641125
33 1.274 5.04947 0.742
34 1.3132 4.69953 0.84175
35 1.3524 4.16453 0.9355
36 1.3916 3.43502 1.01737
37 1.4308 3.28412 1.10013
38 1.47 2.84812 1.17588
39 1.5092 2.96517 1.259
40 1.5484 2.6475 1.33712
41 1.5876 2.39347 1.41138
42 1.6268 2.25265 1.48475
43 1.666 2.26133 1.562
44 1.7052 2.27732 1.6435
45 1.7444 2.32965 1.73075
46 1.7836 2.18368 1.81625
47 1.8228 2.22527 1.90725
48 1.862 2.19994 2.00113
49 1.9012 2.30403 2.10362
50 1.9404 2.40879 2.21525
51 1.9796 2.16662 2.31975
52 2.0188 2.12566 2.42637
53 2.058 2.06944 2.53425
54 2.0972 1.95355 2.64
55 2.1364 1.85804 2.74438
56 2.1756 1.91614 2.856
57 2.2148 1.9131 2.9715
58 2.254 1.7072 3.07825
59 2.2932 1.68024 3.187
60 2.3324 1.69891 3.30075
61 2.3716 1.49876 3.4045
62 2.4108 1.5273 3.51375
63 2.45 1.41791 3.6185
64 2.4892 1.36213 3.72237
65 2.5284 1.47909 3.83875
66 2.5676 1.32489 3.94625
67 2.6068 1.29282 4.05437
68 2.646 1.2606 4.163
69 2.6852 1.24238 4.27325
70 2.7244 1.16173 4.37937
71 2.7636 1.09975 4.48275
72 2.8028 1.06274 4.5855
73 2.842 1.06129 4.691
74 2.8812 1.0167 4.79487
75 2.9204 1.01579 4.9015
76 2.9596 1.04935 5.01462
77 2.9988 1.0029 5.12562
78 3.038 0.914461 5.2295
79 3.0772 0.877368 5.33175
80 3.1164 0.880533 5.437
81 3.1556 0.937328 5.55187
82 3.1948 0.87566 5.66187
83 3.234 0.839023 5.76987
84 3.2732 0.873082 5.885
85 3.3124 0.859945 6.00113
86 3.3516 0.811015 6.11325
