# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0086 0 0
2 0.0258 0 0
3 0.043 0 0
4 0.0602 0 0
5 0.0774 0 0
6 0.0946 0 0
7 0.1118 0 0
8 0.129 0 0
9 0.1462 0 0
10 0.1634 0 0
11 0.1806 0 0
12 0.1978 0 0
13 0.215 0 0
14 0.2322 0 0
15 0.2494 0 0
16 0.2666 0 0
17 0.2838 0 0
18 0.301 0 0
19 0.3182 0 0
20 0.3354 0 0
21 0.3526 0 0
22 0.3698 0 0
23 0.387 0 0
24 0.4042 0 0
25 0.4214 0 0
26 0.4386 0 0
27 0.4558 0 0
28 0.473 0 0
29 0.4902 0 0
30 0.5074 0 0
31 0.5246 0 0
32 0.5418 0 0
33 0.559 0 0
34 0.5762 0 0
35 0.5934 0 0
36 0.6106 0 0
37 0.6278 0 0
38 0.645 0 0
39 0.6622 0 0
40 0.6794 0 0
41 0.6966 0 0
42 0.7138 0 0
43 0.731 0 0
44 0.7482 0 0
45 0.7654 0 0
46 0.7826 0 0
47 0.7998 0 0
48 0.817 0 0
49 0.8342 0 0
50 0.8514 0 0
51 0.8686 0 0
52 0.8858 0 0
53 0.903 0.0283867 0.000125
54 0.9202 0.0273354 0.00025
55 0.9374 0.0526831 0.0005
56 0.9546 0.177806 0.001375
57 0.9718 0.147058 0.002125
58 0.989 0.520622 0.004875
59 1.0062 0.800188 0.00925
60 1.0234 1.37023 0.017
61 1.0406 1.6032 0.026375
62 1.0578 1.90316 0.037875
63 1.075 1.74259 0.04875
64 1.0922 1.9598 0.061375
65 1.1094 1.69262 0.072625
66 1.1266 2.31611 0.0885
67 1.1438 2.21159 0.104125
68 1.161 1.8031 0.11725
69 1.1782 1.96761 0.132
70 1.1954 2.00859 0.1475
71 1.2126 2.03072 0.163625
72 1.2298 1.69883 0.1775
73 1.247 1.77137 0.192375
74 1.2642 1.6366 0.2065
75 1.2814 1.38151 0.21875
76 1.2986 1.37261 0.23125
77 1.3158 1.48402 0.245125
78 1.333 1.28965 0.2575
79 1.3502 1.15543 0.268875
80 1.3674 1.10178 0.28
81 1.3846 1.21947 0.292625
82 1.4018 1.22506 0.305625
83 1.419 1.0461 0.317
84 1.4362 0.942643 0.3275
85 1.4534 1.01909 0.339125
86 1.4706 1.0382 0.35125
87 1.4878 0.888849 0.361875
88 1.505 0.776675 0.371375
89 1.5222 1.10886 0.38525
90 1.5394 1.00608 0.398125
91 1.5566 0.83112 0.409
92 1.5738 0.803708 0.41975
93 1.591 0.823002 0.431
94 1.6082 0.787593 0.442
95 1.6254 1.12147 0.458
96 1.6426 0.935109 0.471625
97 1.6598 0.798199 0.4835
98 1.677 0.921831 0.4975
99 1.6942 0.903209 0.5115
100 1.7114 1.13804 0.5295
1500 100
1 0.0086 0 0
2 0.0258 0 0
3 0.043 0 0
4 0.0602 0 0
5 0.0774 0 0
6 0.0946 0 0
7 0.1118 0 0
8 0.129 0 0
9 0.1462 0 0
10 0.1634 0 0
11 0.1806 0 0
12 0.1978 0 0
13 0.215 0 0
14 0.2322 0 0
15 0.2494 0 0
16 0.2666 0 0
17 0.2838 0 0
18 0.301 0 0
19 0.3182 0 0
20 0.3354 0 0
21 0.3526 0 0
22 0.3698 0 0
23 0.387 0 0
24 0.4042 0 0
25 0.4214 0 0
26 0.4386 0 0
27 0.4558 0 0
28 0.473 0 0
29 0.4902 0 0
30 0.5074 0 0
31 0.5246 0 0
32 0.5418 0 0
33 0.559 0 0
34 0.5762 0 0
35 0.5934 0 0
36 0.6106 0 0
37 0.6278 0 0
38 0.645 0 0
39 0.6622 0 0
40 0.6794 0 0
41 0.6966 0 0
42 0.7138 0 0
43 0.731 0 0
44 0.7482 0 0
45 0.7654 0 0
46 0.7826 0 0
47 0.7998 0 0
48 0.817 0 0
49 0.8342 0 0
50 0.8514 0 0
51 0.8686 0 0
52 0.8858 0 0
53 0.903 0 0
54 0.9202 0 0
55 0.9374 0.0526831 0.00025
56 0.9546 0.101603 0.00075
57 0.9718 0.245097 0.002
58 0.989 0.449628 0.004375
59 1.0062 0.868776 0.009125
60 1.0234 1.21553 0.016
61 1.0406 1.45357 0.0245
62 1.0578 1.6756 0.034625
63 1.075 1.96292 0.046875
64 1.0922 1.76576 0.05825
65 1.1094 1.59859 0.068875
66 1.1266 2.18845 0.083875
67 1.1438 1.87543 0.097125
68 1.161 2.02634 0.111875
69 1.1782 1.65079 0.12425
70 1.1954 1.39305 0.135
71 1.2126 1.81033 0.149375
72 1.2298 1.607 0.1625
73 1.247 1.68206 0.176625
74 1.2642 1.41935 0.188875
75 1.2814 1.46609 0.201875
76 1.2986 1.30398 0.21375
77 1.3158 1.37707 0.226625
78 1.333 1.30268 0.239125
79 1.3502 1.13003 0.25025
80 1.3674 1.337 0.26375
81 1.3846 0.977989 0.273875
82 1.4018 1.21329 0.28675
83 1.419 1.12657 0.299
84 1.4362 1.22319 0.312625
85 1.4534 0.953338 0.3235
86 1.4706 1.08101 0.336125
87 1.4878 1.1921 0.350375
88 1.505 0.837991 0.360625
89 1.5222 0.998976 0.373125
90 1.5394 0.908403 0.38475
91 1.5566 1.18459 0.40025
92 1.5738 0.84109 0.4115
93 1.591 0.941881 0.424375
94 1.6082 0.939741 0.4375
95 1.6254 0.823581 0.44925
96 1.6426 0.892214 0.46225
97 1.6598 0.941035 0.47625
98 1.677 0.880678 0.489625
99 1.6942 0.991917 0.505
100 1.7114 1.00369 0.520875
2000 100
1 0.0086 0 0
2 0.0258 0 0
3 0.043 0 0
4 0.0602 0 0
5 0.0774 0 0
6 0.0946 0 0
7 0.1118 0 0
8 0.129 0 0
9 0.1462 0 0
10 0.1634 0 0
11 0.1806 0 0
12 0.1978 0 0
13 0.215 0 0
14 0.2322 0 0
15 0.2494 0 0
16 0.2666 0 0
17 0.2838 0 0
18 0.301 0 0
19 0.3182 0 0
20 0.3354 0 0
21 0.3526 0 0
22 0.3698 0 0
23 0.387 0 0
24 0.4042 0 0
25 0.4214 0 0
26 0.4386 0 0
27 0.4558 0 0
28 0.473 0 0
29 0.4902 0 0
30 0.5074 0 0
31 0.5246 0 0
32 0.5418 0 0
33 0.559 0 0
34 0.5762 0 0
35 0.5934 0 0
36 0.6106 0 0
37 0.6278 0 0
38 0.645 0 0
39 0.6622 0 0
40 0.6794 0 0
41 0.6966 0 0
42 0.7138 0 0
43 0.731 0 0
44 0.7482 0 0
45 0.7654 0 0
46 0.7826 0 0
47 0.7998 0 0
48 0.817 0 0
49 0.8342 0 0
50 0.8514 0 0
