# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0196 0 0
2 0.0588 0 0
3 0.098 0 0
4 0.1372 0 0
5 0.1764 0 0
6 0.2156 0 0
7 0.2548 0 0
8 0.294 0 0
9 0.3332 0 0
10 0.3724 0 0
11 0.4116 0 0
12 0.4508 0 0
13 0.49 0 0
14 0.5292 0 0
15 0.5684 0 0
16 0.6076 0 0
17 0.6468 0 0
18 0.686 0 0
19 0.7252 0 0
20 0.7644 0 0
21 0.8036 0 0
22 0.8428 0 0
23 0.882 0.0131112 0.001
24 0.9212 0.0841348 0.008
25 0.9604 0.796194 0.08
26 0.9996 2.7868 0.353
27 1.0388 4.76394 0.857
28 1.078 6.72348 1.623
29 1.1172 5.9004 2.345
30 1.1564 5.28599 3.038
31 1.1956 4.50266 3.669
32 1.2348 3.7196 4.225
33 1.274 3.32456 4.754
34 1.3132 3.03441 5.267
35 1.3524 2.74394 5.759
36 1.3916 2.31764 6.199
37 1.4308 2.17745 6.636
38 1.47 2.05343 7.071
39 1.5092 1.83619 7.481
40 1.5484 1.59123 7.855
41 1.5876 1.52577 8.232
42 1.6268 1.6073 8.649
43 1.666 1.76777 9.13
44 1.7052 1.56114 9.575
45 1.7444 1.76665 10.102
46 1.7836 1.88225 10.689
47 1.8228 1.93418 11.319
48 1.862 2.02719 12.008
49 1.9012 2.12226 12.76
50 1.9404 2.12678 13.545
51 1.9796 2.17354 14.38
52 2.0188 2.32023 15.307
53 2.058 2.44222 16.321
54 2.0972 2.47238 17.387
55 2.1364 2.25063 18.394
56 2.1756 2.1875 19.409
57 2.2148 2.23136 20.482
58 2.254 2.04199 21.499
59 2.2932 1.9495 22.504
60 2.3324 1.96328 23.551
61 2.3716 1.79009 24.538
62 2.4108 1.73586 25.527
63 2.45 1.67736 26.514
64 2.4892 1.7155 27.556
65 2.5284 1.57336 28.542
66 2.5676 1.64019 29.602
67 2.6068 1.5552 30.638
68 2.646 1.52112 31.682
69 2.6852 1.49684 32.74
70 2.7244 1.48569 33.821
71 2.7636 1.61747 35.032
72 2.8028 1.60891 36.271
73 2.842 1.6545 37.581
74 2.8812 1.59627 38.88
75 2.9204 1.55131 40.177
76 2.9596 1.62462 41.572
77 2.9988 1.56882 42.955
78 3.038 1.53743 44.346
79 3.0772 1.62133 45.851
80 3.1164 1.53353 47.311
81 3.1556 1.5141 48.789
82 3.1948 1.4352 50.225
83 3.234 1.45817 51.72
84 3.2732 1.4463 53.239
85 3.3124 1.32209 54.661
86 3.3516 1.34129 56.138
87 3.3908 1.26698 57.566
88 3.43 1.29455 59.059
89 3.4692 1.26461 60.551
